,gamma,values,policy,time,steps
0,0.8,0.5602780375007892,1,0.033499717712402344,1
1,0.8,1.2941670895132575,1,0.033499717712402344,1
2,0.8,0.6374563354259205,1,0.033499717712402344,1
3,0.8,1.3182658857212206,1,0.033499717712402344,1
4,0.8,0.6609114320827942,1,0.033499717712402344,1
5,0.8,1.3541320612287226,1,0.033499717712402344,1
6,0.8,0.6853505436455846,1,0.033499717712402344,1
7,0.8,1.3915411774822173,1,0.033499717712402344,1
8,0.8,0.7064529729678006,1,0.033499717712402344,1
9,0.8,1.4238467010212956,1,0.033499717712402344,1
10,0.8,0.7878106032255544,1,0.033499717712402344,1
11,0.8,1.5385592305932725,1,0.033499717712402344,1
12,0.8,0.9150279875162276,1,0.033499717712402344,1
13,0.8,1.7502234358177222,1,0.033499717712402344,1
14,0.8,0.8089599800372778,1,0.033499717712402344,1
15,0.8,1.6466205262340656,1,0.033499717712402344,1
16,0.8,0.6270283841679931,1,0.033499717712402344,1
17,0.8,1.4492927316468682,1,0.033499717712402344,1
18,0.8,0.4389077029493989,1,0.033499717712402344,1
19,0.8,1.069413924853873,1,0.033499717712402344,1
20,0.8,0.0,0,0.033499717712402344,1
21,0.8,0.0,0,0.033499717712402344,1
22,0.8,0.610532468269935,1,0.033499717712402344,1
23,0.8,1.7183794321501704,1,0.033499717712402344,1
24,0.8,0.6831595380088272,1,0.033499717712402344,1
25,0.8,1.7079510517663674,1,0.033499717712402344,1
26,0.8,0.7052055499585596,1,0.033499717712402344,1
27,0.8,1.7366125214473476,1,0.033499717712402344,1
28,0.8,0.7281724332340378,1,0.033499717712402344,1
29,0.8,1.7665005295122338,1,0.033499717712402344,1
30,0.8,0.7480019864990949,1,0.033499717712402344,1
31,0.8,1.7923008053099163,1,0.033499717712402344,1
32,0.8,0.82481326637236,1,0.033499717712402344,1
33,0.8,1.883996666500909,1,0.033499717712402344,1
34,0.8,0.9430109026274699,1,0.033499717712402344,1
35,0.8,2.0499272946108977,1,0.033499717712402344,1
36,0.8,0.8357876843976975,1,0.033499717712402344,1
37,0.8,1.9415918000755692,1,0.033499717712402344,1
38,0.8,0.6622934330948498,1,0.033499717712402344,1
39,0.8,1.794734602276035,1,0.033499717712402344,1
40,0.8,0.5141531742958193,1,0.033499717712402344,1
41,0.8,1.6412977552971264,1,0.033499717712402344,1
42,0.8,0.0,0,0.033499717712402344,1
43,0.8,0.0,0,0.033499717712402344,1
44,0.8,0.3846872543979113,1,0.033499717712402344,1
45,0.8,0.8168554070979863,1,0.033499717712402344,1
46,0.8,0.46361818148108125,1,0.033499717712402344,1
47,0.8,0.8419767878958533,1,0.033499717712402344,1
48,0.8,0.48484407941837115,1,0.033499717712402344,1
49,0.8,0.866113244841704,1,0.033499717712402344,1
50,0.8,0.506950672254738,1,0.033499717712402344,1
51,0.8,0.8912538321492054,1,0.033499717712402344,1
52,0.8,0.5260385988207473,1,0.033499717712402344,1
53,0.8,0.9129610484803558,1,0.033499717712402344,1
54,0.8,0.600102078814083,1,0.033499717712402344,1
55,0.8,0.9897038162689717,1,0.033499717712402344,1
56,0.8,0.7129941512032547,1,0.033499717712402344,1
57,0.8,1.1259378862276572,1,0.033499717712402344,1
58,0.8,0.6063839115988846,1,0.033499717712402344,1
59,0.8,1.0198140145639418,1,0.033499717712402344,1
60,0.8,0.4330946808196085,1,0.033499717712402344,1
61,0.8,0.8740172340281495,1,0.033499717712402344,1
62,0.8,0.2825335885485583,1,0.033499717712402344,1
63,0.8,0.7090857115117859,1,0.033499717712402344,1
64,0.8,0.0,0,0.033499717712402344,1
65,0.8,0.0,0,0.033499717712402344,1
66,0.8,0.35645939900215484,1,0.033499717712402344,1
67,0.8,0.7695014704546248,1,0.033499717712402344,1
68,0.8,0.4346649194034486,1,0.033499717712402344,1
69,0.8,0.7931665393221806,1,0.033499717712402344,1
70,0.8,0.45559563712815143,1,0.033499717712402344,1
71,0.8,0.8159037813726198,1,0.033499717712402344,1
72,0.8,0.477394998459787,1,0.033499717712402344,1
73,0.8,0.8395869433289616,1,0.033499717712402344,1
74,0.8,0.4962177082474103,1,0.033499717712402344,1
75,0.8,0.8600357703075815,1,0.033499717712402344,1
76,0.8,0.5692923005414409,1,0.033499717712402344,1
77,0.8,0.9323296819925097,1,0.033499717712402344,1
78,0.8,0.6806187180318415,1,0.033499717712402344,1
79,0.8,1.0606661247072133,1,0.033499717712402344,1
80,0.8,0.5755896134732077,1,0.033499717712402344,1
81,0.8,0.9606943615457423,1,0.033499717712402344,1
82,0.8,0.40431071996085655,1,0.033499717712402344,1
83,0.8,0.8233495682873871,1,0.033499717712402344,1
84,0.8,0.2556094581211773,1,0.033499717712402344,1
85,0.8,0.6679792934531317,1,0.033499717712402344,1
86,0.8,0.0,0,0.033499717712402344,1
87,0.8,0.0,0,0.033499717712402344,1
88,0.8,0.3264028691683207,1,0.033499717712402344,1
89,0.8,0.7248926895587046,1,0.033499717712402344,1
90,0.8,0.40373698730735214,1,0.033499717712402344,1
91,0.8,0.7471858703759673,1,0.033499717712402344,1
92,0.8,0.4243413840542981,1,0.033499717712402344,1
93,0.8,0.7686050114379751,1,0.033499717712402344,1
94,0.8,0.4458010583438065,1,0.033499717712402344,1
95,0.8,0.7909152364693116,1,0.033499717712402344,1
96,0.8,0.464330520122499,1,0.033499717712402344,1
97,0.8,0.8101786242027942,1,0.033499717712402344,1
98,0.8,0.5362825324413734,1,0.033499717712402344,1
99,0.8,0.8782815844856975,1,0.033499717712402344,1
100,0.8,0.6458973928231925,1,0.033499717712402344,1
101,0.8,0.9991782334198386,1,0.033499717712402344,1
102,0.8,0.5425913527063211,1,0.033499717712402344,1
103,0.8,0.9050019347894673,1,0.033499717712402344,1
104,0.8,0.37361348882334605,1,0.033499717712402344,1
105,0.8,0.7756191585315966,1,0.033499717712402344,1
106,0.8,0.22702135844708118,1,0.033499717712402344,1
107,0.8,0.6292558561515008,1,0.033499717712402344,1
108,0.8,0.0,0,0.033499717712402344,1
109,0.8,0.0,0,0.033499717712402344,1
110,0.8,0.29481951324414657,1,0.033499717712402344,1
111,0.8,0.6828699249466057,1,0.033499717712402344,1
112,0.8,0.3709696484159136,1,0.033499717712402344,1
113,0.8,0.7038707474556214,1,0.033499717712402344,1
114,0.8,0.3912211603202895,1,0.033499717712402344,1
115,0.8,0.7240481991807012,1,0.033499717712402344,1
116,0.8,0.41231345487600035,1,0.033499717712402344,1
117,0.8,0.7450650778334095,1,0.033499717712402344,1
118,0.8,0.4305257416071692,1,0.033499717712402344,1
119,0.8,0.7632117474374148,1,0.033499717712402344,1
120,0.8,0.5015247968081299,1,0.033499717712402344,1
121,0.8,0.8273667100227585,1,0.033499717712402344,1
122,0.8,0.6090169835875711,1,0.033499717712402344,1
123,0.8,0.9412548575694132,1,0.033499717712402344,1
124,0.8,0.5075826155274535,1,0.033499717712402344,1
125,0.8,0.8525380545118171,1,0.033499717712402344,1
126,0.8,0.3413161338280758,1,0.033499717712402344,1
127,0.8,0.730655729051504,1,0.033499717712402344,1
128,0.8,0.19704440594736194,1,0.033499717712402344,1
129,0.8,0.592777255794892,1,0.033499717712402344,1
130,0.8,0.0,0,0.033499717712402344,1
131,0.8,0.0,0,0.033499717712402344,1
132,0.8,0.2617795136368814,1,0.033499717712402344,1
133,0.8,0.6432832626308604,1,0.033499717712402344,1
134,0.8,0.3388858373409055,1,0.033499717712402344,1
135,0.8,0.6630666461538463,1,0.033499717712402344,1
136,0.8,0.3586496850176495,1,0.033499717712402344,1
137,0.8,0.6820743905325446,1,0.033499717712402344,1
138,0.8,0.37923479331133975,1,0.033499717712402344,1
139,0.8,0.7018728994082842,1,0.033499717712402344,1
140,0.8,0.39700971645444655,1,0.033499717712402344,1
141,0.8,0.7189675881656806,1,0.033499717712402344,1
142,0.8,0.46351280881034806,1,0.033499717712402344,1
143,0.8,0.7794034224852073,1,0.033499717712402344,1
144,0.8,0.5714332931011534,1,0.033499717712402344,1
145,0.8,0.886689358579882,1,0.033499717712402344,1
146,0.8,0.472809227621566,1,0.033499717712402344,1
147,0.8,0.8031155585980886,1,0.033499717712402344,1
148,0.8,0.3074935459529994,1,0.033499717712402344,1
149,0.8,0.6882988751934458,1,0.033499717712402344,1
150,0.8,0.16575753692153333,1,0.033499717712402344,1
151,0.8,0.5584133569082317,1,0.033499717712402344,1
152,0.8,0.0,0,0.033499717712402344,1
153,0.8,0.0,0,0.033499717712402344,1
154,0.8,0.22927238069134098,1,0.033499717712402344,1
155,0.8,0.605991479289941,1,0.033499717712402344,1
156,0.8,0.28080767198071643,1,0.033499717712402344,1
157,0.8,0.6246280000000001,1,0.033499717712402344,1
158,0.8,0.30373908905251557,1,0.033499717712402344,1
159,0.8,0.6425338461538463,1,0.033499717712402344,1
160,0.8,0.32760587409437375,1,0.033499717712402344,1
161,0.8,0.6611846153846156,1,0.033499717712402344,1
162,0.8,0.34819940873174293,1,0.033499717712402344,1
163,0.8,0.6772883076923079,1,0.033499717712402344,1
164,0.8,0.44974276709413225,1,0.033499717712402344,1
165,0.8,0.7342206153846156,1,0.033499717712402344,1
166,0.8,0.5447662840137533,1,0.033499717712402344,1
167,0.8,0.8352870769230772,1,0.033499717712402344,1
168,0.8,0.41389160670690434,1,0.033499717712402344,1
169,0.8,0.7565581349112429,1,0.033499717712402344,1
170,0.8,0.2742222819185575,1,0.033499717712402344,1
171,0.8,0.6483974911242605,1,0.033499717712402344,1
172,0.8,0.13555930268592717,1,0.033499717712402344,1
173,0.8,0.5260415681019573,1,0.033499717712402344,1
174,0.8,0.0,0,0.033499717712402344,1
175,0.8,0.0,0,0.033499717712402344,1
176,0.8,0.19328863580881836,1,0.033499717712402344,1
177,0.8,0.5708615384615386,1,0.033499717712402344,1
178,0.8,0.47956695633384105,1,0.033499717712402344,1
179,0.8,0.6087100000000002,0,0.033499717712402344,1
180,0.8,0.528197184433426,1,0.033499717712402344,1
181,0.8,0.7415,0,0.033499717712402344,1
182,0.8,0.5787273218910826,1,0.033499717712402344,1
183,0.8,0.8792700000000002,0,0.033499717712402344,1
184,0.8,0.6222820389554731,1,0.033499717712402344,1
185,0.8,0.9978050000000002,0,0.033499717712402344,1
186,0.8,0.78503456250389,1,0.033499717712402344,1
187,0.8,1.4172200000000001,0,0.033499717712402344,1
188,0.8,1.0162732053625618,1,0.033499717712402344,1
189,0.8,1.9977700000000005,0,0.033499717712402344,1
190,0.8,0.605374743413548,1,0.033499717712402344,1
191,0.8,0.7126996923076926,1,0.033499717712402344,1
192,0.8,0.23638601215731347,1,0.033499717712402344,1
193,0.8,0.6108092307692309,1,0.033499717712402344,1
194,0.8,0.07921907077102101,1,0.033499717712402344,1
195,0.8,0.49554640473372796,1,0.033499717712402344,1
196,0.8,0.0,0,0.033499717712402344,1
197,0.8,0.0,0,0.033499717712402344,1
198,0.8,0.6312100081871472,1,0.033499717712402344,1
199,0.8,1.3881800000000002,0,0.033499717712402344,1
200,0.8,0.8432329369540328,1,0.033499717712402344,1
