,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
57,0.9,0.9,0.7514768435208588,0.995,58,1,4.850000000189425e-05,22.0668994,1.0
58,0.9,0.9,0.7477194593032545,0.995,59,1,3.7800000001197986e-05,22.0669377,-1.0
59,0.9,0.9,0.7439808620067382,0.995,60,1,3.599999999792658e-05,22.0669746,-1.0
60,0.9,0.9,0.7402609576967045,0.995,61,1,3.2999999998395424e-05,22.067008,-1.0
61,0.9,0.9,0.736559652908221,0.995,62,2,6.409999999945626e-05,22.0670724,-1.0
62,0.9,0.9,0.7328768546436799,0.995,63,1,3.540000000157306e-05,22.0671081,-1.0
63,0.9,0.9,0.7292124703704616,0.995,64,1,4.099999999951365e-05,22.0671495,-1.0
64,0.9,0.9,0.7255664080186093,0.995,65,4,0.00011779999999816937,22.0672677,-1.0
65,0.9,0.9,0.7219385759785162,0.995,66,1,6.829999999879988e-05,22.0673364,-1.0
66,0.9,0.9,0.7183288830986236,0.995,67,3,9.259999999855495e-05,22.0674294,1.0
67,0.9,0.9,0.7147372386831305,0.995,68,1,4.020000000082291e-05,22.06747,0.0
68,0.9,0.9,0.7111635524897149,0.995,69,1,3.3699999999470265e-05,22.067504,-1.0
69,0.9,0.9,0.7076077347272662,0.995,70,1,3.500000000045134e-05,22.0675394,-1.0
70,0.9,0.9,0.7040696960536299,0.995,71,1,3.6600000001385524e-05,22.0675763,1.0
71,0.9,0.9,0.7005493475733617,0.995,72,2,5.5599999999600414e-05,22.0676323,-1.0
72,0.9,0.9,0.697046600835495,0.995,73,2,5.3899999997497616e-05,22.0676867,-1.0
73,0.9,0.9,0.6935613678313175,0.995,74,1,4.219999999932611e-05,22.0677298,-1.0
74,0.9,0.9,0.6900935609921609,0.995,75,3,0.00013279999999937786,22.067863,1.0
75,0.9,0.9,0.6866430931872001,0.995,76,1,6.769999999889365e-05,22.067931,1.0
76,0.9,0.9,0.6832098777212641,0.995,77,1,3.500000000045134e-05,22.0679664,-1.0
77,0.9,0.9,0.6797938283326578,0.995,78,1,3.9500000003300784e-05,22.0680063,1.0
78,0.9,0.9,0.6763948591909945,0.995,79,1,3.459999999932961e-05,22.0680413,-1.0
79,0.9,0.9,0.6730128848950395,0.995,80,1,4.3099999999185457e-05,22.0680848,-1.0
80,0.9,0.9,0.6696478204705644,0.995,81,2,5.469999999974107e-05,22.0681399,0.0
81,0.9,0.9,0.6662995813682115,0.995,82,2,5.789999999805673e-05,22.0681982,-1.0
82,0.9,0.9,0.6629680834613705,0.995,83,1,5.979999999894403e-05,22.0682584,-1.0
83,0.9,0.9,0.6596532430440636,0.995,84,1,8.520000000089567e-05,22.068344,-1.0
84,0.9,0.9,0.6563549768288433,0.995,85,1,4.900000000063187e-05,22.0683933,-1.0
85,0.9,0.9,0.653073201944699,0.995,86,2,6.640000000146529e-05,22.06846,-1.0
86,0.9,0.9,0.6498078359349755,0.995,87,1,4.350000000030718e-05,22.0685039,1.0
87,0.9,0.9,0.6465587967553006,0.995,88,1,3.98000000032539e-05,22.0685441,-1.0
88,0.9,0.9,0.6433260027715241,0.995,89,1,4.360000000147579e-05,22.0685883,1.0
89,0.9,0.9,0.6401093727576664,0.995,90,1,3.540000000157306e-05,22.0686243,-1.0
90,0.9,0.9,0.6369088258938781,0.995,91,1,3.410000000059199e-05,22.0686588,-1.0
91,0.9,0.9,0.6337242817644086,0.995,92,1,3.4299999999376496e-05,22.0686934,-1.0
92,0.9,0.9,0.6305556603555866,0.995,93,1,3.310000000311675e-05,22.0687268,-1.0
93,0.9,0.9,0.6274028820538087,0.995,94,1,8.97000000001924e-05,22.0688168,-1.0
94,0.9,0.9,0.6242658676435396,0.995,95,1,5.200000000016303e-05,22.0688692,1.0
95,0.9,0.9,0.6211445383053219,0.995,96,1,5.179999999782581e-05,22.0689214,-1.0
96,0.9,0.9,0.6180388156137953,0.995,97,2,5.470000000329378e-05,22.0689764,-1.0
97,0.9,0.9,0.6149486215357263,0.995,98,1,3.949999999974807e-05,22.0690164,-1.0
98,0.9,0.9,0.6118738784280476,0.995,99,1,4.029999999843881e-05,22.069057,1.0
99,0.9,0.9,0.6088145090359074,0.995,100,2,5.9700000001328135e-05,22.0691171,1.0
100,0.9,0.9,0.6057704364907278,0.995,101,1,3.760000000241348e-05,22.0691551,-1.0
101,0.9,0.9,0.6027415843082742,0.995,102,2,6.520000000165282e-05,22.0692207,1.0
102,0.9,0.9,0.5997278763867329,0.995,103,2,9.55999999980861e-05,22.0693167,-1.0
103,0.9,0.9,0.5967292370047992,0.995,104,1,5.029999999806023e-05,22.0693674,-1.0
104,0.9,0.9,0.5937455908197752,0.995,105,3,8.330000000000837e-05,22.0694511,-1.0
105,0.9,0.9,0.5907768628656763,0.995,106,1,4.089999999834504e-05,22.0694924,-1.0
106,0.9,0.9,0.5878229785513479,0.995,107,1,4.8599999999510146e-05,22.0695416,1.0
107,0.9,0.9,0.5848838636585911,0.995,108,1,3.809999999759839e-05,22.0695806,-1.0
108,0.9,0.9,0.5819594443402982,0.995,109,1,3.680000000017003e-05,22.0696178,-1.0
109,0.9,0.9,0.5790496471185967,0.995,110,1,4.0500000000776026e-05,22.0696587,1.0
110,0.9,0.9,0.5761543988830038,0.995,111,1,3.549999999918896e-05,22.0696946,-1.0
111,0.9,0.9,0.5732736268885887,0.995,112,1,4.38000000002603e-05,22.0697387,-1.0
112,0.9,0.9,0.5704072587541458,0.995,113,1,6.630000000029668e-05,22.0698055,1.0
113,0.9,0.9,0.567555222460375,0.995,114,1,4.350000000030718e-05,22.0698494,-1.0
114,0.9,0.9,0.5647174463480732,0.995,115,1,5.499999999969418e-05,22.0699048,-1.0
115,0.9,0.9,0.5618938591163328,0.995,116,1,3.580000000269479e-05,22.069941,0.0
116,0.9,0.9,0.5590843898207511,0.995,117,1,4.390000000142891e-05,22.0699853,1.0
117,0.9,0.9,0.5562889678716474,0.995,118,1,4.609999999871661e-05,22.0700318,1.0
118,0.9,0.9,0.5535075230322891,0.995,119,1,3.539999999802035e-05,22.0700676,-1.0
119,0.9,0.9,0.5507399854171277,0.995,120,1,4.029999999843881e-05,22.0701084,-1.0
120,0.9,0.9,0.547986285490042,0.995,121,1,3.9699999998532576e-05,22.0701485,1.0
121,0.9,0.9,0.5452463540625918,0.995,122,1,4.7500000000866294e-05,22.0701965,1.0
122,0.9,0.9,0.5425201222922789,0.995,123,1,3.999999999848569e-05,22.0702369,1.0
123,0.9,0.9,0.5398075216808175,0.995,124,1,4.150000000180398e-05,22.0702974,-1.0
124,0.9,0.9,0.5371084840724134,0.995,125,2,7.319999999921833e-05,22.070371,-1.0
