,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
60,0.9,0.9,0.7402609576967045,0.995,61,16,0.0022332000000000185,0.1285047,24.0
61,0.9,0.9,0.736559652908221,0.995,62,17,0.0024563999999999975,0.1309623,28.0
62,0.9,0.9,0.7328768546436799,0.995,63,41,0.006237900000000018,0.1372015,14.0
63,0.9,0.9,0.7292124703704616,0.995,64,30,0.004372100000000018,0.1415747,11.0
64,0.9,0.9,0.7255664080186093,0.995,65,28,0.00250439999999999,0.1440799,15.0
65,0.9,0.9,0.7219385759785162,0.995,66,25,0.0024179000000000006,0.1464986,18.0
66,0.9,0.9,0.7183288830986236,0.995,67,26,0.002604800000000018,0.1491042,29.0
67,0.9,0.9,0.7147372386831305,0.995,68,51,0.004541199999999995,0.1536462,24.0
68,0.9,0.9,0.7111635524897149,0.995,69,29,0.0037062999999999957,0.1573534,45.0
69,0.9,0.9,0.7076077347272662,0.995,70,13,0.0010518000000000194,0.158406,23.0
70,0.9,0.9,0.7040696960536299,0.995,71,14,0.001132099999999997,0.1595388,22.0
71,0.9,0.9,0.7005493475733617,0.995,72,33,0.003021800000000019,0.1625615,50.0
72,0.9,0.9,0.697046600835495,0.995,73,19,0.0014947999999999906,0.1640571,40.0
73,0.9,0.9,0.6935613678313175,0.995,74,22,0.0021305000000000074,0.1661886,23.0
74,0.9,0.9,0.6900935609921609,0.995,75,33,0.002407300000000001,0.1685965,28.0
75,0.9,0.9,0.6866430931872001,0.995,76,15,0.0013057000000000207,0.1699028,18.0
76,0.9,0.9,0.6832098777212641,0.995,77,13,0.001074500000000006,0.1709779,20.0
77,0.9,0.9,0.6797938283326578,0.995,78,6,0.0005021000000000053,0.1714805,19.0
78,0.9,0.9,0.6763948591909945,0.995,79,14,0.0009784999999999933,0.1724596,23.0
79,0.9,0.9,0.6730128848950395,0.995,80,7,0.0006415999999999922,0.1731018,21.0
80,0.9,0.9,0.6696478204705644,0.995,81,38,0.003024100000000002,0.1761266,34.0
81,0.9,0.9,0.6662995813682115,0.995,82,11,0.0009821999999999886,0.1771096,24.0
82,0.9,0.9,0.6629680834613705,0.995,83,14,0.0012328999999999812,0.1783439,27.0
83,0.9,0.9,0.6596532430440636,0.995,84,15,0.0013779999999999903,0.1797228,16.0
84,0.9,0.9,0.6563549768288433,0.995,85,27,0.0021210000000000118,0.1818445,33.0
85,0.9,0.9,0.653073201944699,0.995,86,42,0.0037196999999999925,0.1855652,66.0
