iterations,fitness,time,fevals
0,28.0,0.0923375,1000
10,29.0,0.1779124,2100
20,33.0,0.2484913,3200
30,36.0,0.3196182,4300
40,36.0,0.3794269,5400
50,46.0,0.4371789,6500
60,44.0,0.4922361,7600
70,46.0,0.546506,8700
80,48.0,0.6020858,9800
90,46.0,0.6540399,10900
100,55.0,0.7052702,12000
110,56.0,0.7542226,13100
120,50.0,0.8027452,14200
130,55.0,0.8503716,15300
140,55.0,0.8977428,16400
150,55.0,0.9475662,17500
160,55.0,0.9961944,18600
170,55.0,1.0484218,19700
180,56.0,1.095248,20800
190,48.0,1.1427814,21900
200,48.0,1.1893768,23000
210,51.0,1.2369236,24100
220,53.0,1.2834782,25200
230,53.0,1.3296677,26300
240,53.0,1.3776673,27400
250,52.0,1.42809,28500
260,53.0,1.4928899,29600
270,58.0,1.5448799,30700
280,58.0,1.6015559,31800
290,51.0,1.6528535,32900
300,57.0,1.7057946,34000
310,51.0,1.7587883,35100
320,51.0,1.8091377,36200
330,56.0,1.8609704,37300
340,53.0,1.9100256,38400
350,54.0,1.960767,39500
360,55.0,2.0093296,40600
370,54.0,2.0583444,41700
380,54.0,2.105283,42800
390,56.0,2.1522926,43900
400,57.0,2.2020985,45000
410,56.0,2.2511386,46100
420,54.0,2.300759,47200
430,55.0,2.3532965,48300
440,55.0,2.4131711,49400
450,55.0,2.4700411,50500
460,54.0,2.5237868,51600
470,53.0,2.5771089,52700
480,57.0,2.6383528,53800
490,54.0,2.7009509,54900
500,56.0,2.7662925,56000
510,53.0,2.8222866,57100
520,56.0,2.8831979,58200
530,57.0,2.9403581,59300
540,54.0,2.9976708,60400
550,55.0,3.0504425,61500
560,56.0,3.1014066,62600
570,59.0,3.1528292,63700
580,57.0,3.2046475,64800
590,55.0,3.2551936,65900
600,54.0,3.3047867,67000
610,54.0,3.3539399,68100
620,55.0,3.4005841,69200
630,60.0,3.4480497,70300
640,56.0,3.4945292,71400
650,59.0,3.5410028,72500
660,61.0,3.587977,73600
670,63.0,3.6365272,74700
680,55.0,3.6868062,75800
690,58.0,3.7403706,76900
700,56.0,3.7938747,78000
710,56.0,3.8477424,79100
720,59.0,3.9007183,80200
730,57.0,3.9507949,81300
740,57.0,4.0000987,82400
750,62.0,4.0499773,83500
760,64.0,4.1013894,84600
770,58.0,4.1539924,85700
780,58.0,4.2108049,86800
790,59.0,4.2634725,87900
800,59.0,4.3202154,89000
810,60.0,4.3729402,90100
820,60.0,4.4253666,91200
830,60.0,4.4759343,92300
840,60.0,4.5252032,93400
850,60.0,4.5792614,94500
860,61.0,4.6376822,95600
870,60.0,4.6884642,96700
880,60.0,4.740776,97800
890,61.0,4.7926353,98900
900,60.0,4.8476381,100000
910,59.0,4.9052955,101100
920,61.0,4.9612066,102200
930,61.0,5.0174514,103300
940,60.0,5.0732029,104400
950,60.0,5.1266697,105500
960,61.0,5.1798342,106600
970,60.0,5.2300263,107700
980,59.0,5.2789534,108800
990,60.0,5.3277086,109900
1000,61.0,5.3767107,111000
1010,60.0,5.4245834,112100
1020,59.0,5.4711949,113200
1030,60.0,5.5201397,114300
1040,61.0,5.5669483,115400
1050,60.0,5.6237133,116500
1060,60.0,5.675752,117600
1070,59.0,5.7254606,118700
1080,60.0,5.7793516,119800
1090,59.0,5.8293359,120900
1100,61.0,5.8794009,122000
1110,60.0,5.9276839,123100
1120,59.0,5.9838673,124200
1130,60.0,6.0339993,125300
1140,63.0,6.0841397,126400
1150,62.0,6.1319916,127500
1160,61.0,6.1791696,128600
1170,61.0,6.2294424,129700
1180,61.0,6.2806111,130800
1190,59.0,6.332552,131900
1200,60.0,6.3862984,133000
1210,59.0,6.438966,134100
1220,58.0,6.500294,135200
1230,62.0,6.560467,136300
1240,61.0,6.6165022,137400
1250,61.0,6.671186,138500
1260,62.0,6.7275604,139600
1270,61.0,6.78337,140700
1280,62.0,6.8468665,141800
1290,61.0,6.9042798,142900
1300,61.0,6.9624721,144000
1310,60.0,7.0198883,145100
1320,61.0,7.0798268,146200
1330,61.0,7.1495041,147300
1340,62.0,7.2082349,148400
1350,62.0,7.2691752,149500
1360,62.0,7.3370615,150600
1370,61.0,7.4040908,151700
1380,60.0,7.4743481,152800
1390,61.0,7.5312728,153900
1400,61.0,7.5866008,155000
1410,61.0,7.6404872,156100
1420,61.0,7.6915998,157200
1430,61.0,7.7405381,158300
1440,63.0,7.7915657,159400
1450,62.0,7.8397762,160500
1460,62.0,7.8887272,161600
1470,61.0,7.9359808,162700
1480,62.0,7.983845,163800
1490,63.0,8.0312119,164900
1500,62.0,8.080311,166000
1510,61.0,8.1309389,167100
1520,62.0,8.1840267,168200
1530,62.0,8.2346812,169300
1540,63.0,8.2846235,170400
1550,61.0,8.3363866,171500
1560,61.0,8.3941666,172600
1570,63.0,8.4515308,173700
1580,63.0,8.5059075,174800
1590,65.0,8.5602315,175900
1600,65.0,8.6211953,177000
1610,62.0,8.6887913,178100
1620,64.0,8.7521287,179200
1630,60.0,8.8137416,180300
1640,60.0,8.8738051,181400
1650,62.0,8.9324702,182500
1660,60.0,8.9924896,183600
1670,59.0,9.0547415,184700
1680,59.0,9.1267325,185800
1690,58.0,9.1935748,186900
1700,57.0,9.2518972,188000
1710,58.0,9.3119741,189100
1720,60.0,9.3671917,190200
1730,60.0,9.4248928,191300
1740,62.0,9.4836329,192400
1750,61.0,9.5464798,193500
1760,61.0,9.6040687,194600
1770,59.0,9.6594586,195700
1780,56.0,9.7165926,196800
1790,58.0,9.7700086,197900
1800,51.0,9.8269023,199000
1810,53.0,9.88255,200100
1820,54.0,9.9388975,201200
1830,56.0,9.9948931,202300
1840,51.0,10.049218,203400
1850,53.0,10.1046057,204500
1860,53.0,10.1591553,205600
1870,51.0,10.2133188,206700
1880,54.0,10.2691107,207800
1890,54.0,10.3309072,208900
1900,51.0,10.3880765,210000
1910,53.0,10.4542735,211100
1920,50.0,10.5245931,212200
1930,52.0,10.5939305,213300
1940,54.0,10.6593068,214400
1950,49.0,10.7214909,215500
1960,47.0,10.7827015,216600
1970,47.0,10.8403992,217700
1980,48.0,10.9031609,218800
1990,48.0,10.9631597,219900
2000,49.0,11.0227605,221000
2010,52.0,11.0816671,222100
2020,52.0,11.1385467,223200
2030,54.0,11.195104,224300
2040,52.0,11.2496423,225400
2050,52.0,11.3012144,226500
2060,55.0,11.3536637,227600
2070,52.0,11.4042418,228700
2080,53.0,11.4557733,229800
2090,53.0,11.5067664,230900
2100,54.0,11.557269,232000
2110,55.0,11.6112439,233100
2120,55.0,11.6757654,234200
2130,56.0,11.7351628,235300
2140,56.0,11.7974235,236400
2150,57.0,11.855288,237500
2160,56.0,11.9092119,238600
2170,56.0,11.9682406,239700
2180,57.0,12.0282051,240800
2190,54.0,12.0883509,241900
2200,51.0,12.1465783,243000
2210,55.0,12.2137496,244100
2220,51.0,12.275764,245200
2230,53.0,12.3541118,246300
2240,59.0,12.4258394,247400
2250,59.0,12.493475,248500
2260,64.0,12.5599857,249600
2270,62.0,12.6298688,250700
2280,59.0,12.7037154,251800
2290,59.0,12.7679909,252900
2300,59.0,12.8354597,254000
2310,59.0,12.8993336,255100
2320,59.0,12.9539498,256200
2330,60.0,13.0104107,257300
2340,61.0,13.0681462,258400
2350,60.0,13.1262791,259500
2360,61.0,13.180791,260600
2370,60.0,13.2362676,261700
2380,58.0,13.2907076,262800
2390,58.0,13.3455773,263900
2400,56.0,13.399238,265000
2410,57.0,13.45464,266100
2420,56.0,13.5099124,267200
2430,60.0,13.5700136,268300
2440,61.0,13.6242374,269400
2450,62.0,13.6777521,270500
2460,61.0,13.7302878,271600
2470,62.0,13.7824794,272700
2480,61.0,13.8366635,273800
2490,59.0,13.8897878,274900
2500,61.0,13.9455943,276000
2510,59.0,14.0035294,277100
2520,58.0,14.0663087,278200
2530,63.0,14.1251535,279300
2540,59.0,14.1841237,280400
2550,59.0,14.2387395,281500
2560,60.0,14.2972322,282600
2570,59.0,14.3526485,283700
2580,59.0,14.408803,284800
2590,60.0,14.4666326,285900
2600,65.0,14.5196864,287000
2610,66.0,14.5708646,288100
2620,61.0,14.6205802,289200
2630,60.0,14.6690087,290300
2640,59.0,14.7232158,291400
2650,62.0,14.7713207,292500
2660,59.0,14.8172487,293600
2670,62.0,14.8628382,294700
2680,61.0,14.9093705,295800
2690,62.0,14.9554681,296900
2700,60.0,15.0024418,298000
2710,60.0,15.0498288,299100
2720,59.0,15.0958841,300200
2730,59.0,15.1420267,301300
2740,60.0,15.1881672,302400
2750,61.0,15.2356926,303500
2760,59.0,15.282828,304600
2770,60.0,15.3309084,305700
