iterations,fitness,time,fevals
0,14.0,1.96000000017e-05,11
10,15.0,4.83999999972e-05,21
20,16.0,7.87999999972e-05,31
30,16.0,0.0001137,41
40,16.0,0.000147599999991,51
50,16.0,0.000186999999983,61
60,17.0,0.000217599999985,71
70,17.0,0.000253299999997,81
80,17.0,0.000279800000001,91
90,19.0,0.000308400000009,101
100,19.0,0.000343000000015,111
110,19.0,0.000368900000012,121
120,19.0,0.000390600000017,131
130,19.0,0.000411300000025,141
140,19.0,0.00045590000002,151
150,19.0,0.000477100000012,161
160,19.0,0.000499500000004,171
170,19.0,0.000522500000002,181
180,19.0,0.000568400000006,191
190,19.0,0.000594500000005,201
200,19.0,0.000619600000007,211
210,19.0,0.00064540000001,221
220,20.0,0.000666700000011,231
230,20.0,0.000694300000021,241
240,20.0,0.000731600000023,251
250,20.0,0.00075990000002,261
260,21.0,0.000780500000019,271
270,21.0,0.00081160000002,281
280,21.0,0.000834500000025,291
290,21.0,0.000855800000025,301
300,21.0,0.000880200000026,311
310,21.0,0.000918000000013,321
320,21.0,0.000940400000005,331
330,21.0,0.000962700000002,341
340,22.0,0.00098659999999,351
350,22.0,0.0010178,361
360,22.0,0.00104280000001,371
370,22.0,0.00106410000001,381
380,22.0,0.00109150000002,391
390,22.0,0.00111290000001,401
400,22.0,0.0011465,411
410,22.0,0.00117030000001,421
420,22.0,0.00120150000001,431
430,22.0,0.00122710000001,441
440,22.0,0.00124520000001,451
450,23.0,0.00126700000001,461
460,23.0,0.00129170000001,471
470,23.0,0.00132100000002,481
480,23.0,0.00134360000001,491
490,23.0,0.00137190000001,501
500,23.0,0.00139570000002,511
510,23.0,0.00141810000002,521
520,23.0,0.00143770000003,531
530,23.0,0.00146680000002,541
540,23.0,0.00149480000002,551
550,23.0,0.00152470000002,561
560,23.0,0.00154840000002,571
570,23.0,0.00156910000003,581
580,23.0,0.00159960000002,591
590,23.0,0.00165060000003,601
600,23.0,0.00167660000002,611
610,23.0,0.00169920000002,621
620,23.0,0.00173050000001,631
630,23.0,0.00175190000002,641
640,23.0,0.00177070000001,651
650,23.0,0.0018003,661
660,23.0,0.00182939999999,671
670,23.0,0.00184919999998,681
680,23.0,0.00187879999999,691
