iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.133838403847,0.133794737927,0.134480248319,0.437139952558,0.432831325301,0.431686746988,0.60700859644,0.602993885726,0.60217592983,0.0408876
10,0.133695747165,0.133672440508,0.134328061607,0.436989344478,0.432379518072,0.431325301205,0.606862100697,0.602551935042,0.601889338731,0.4484687
20,0.131464165975,0.131474400333,0.132011288189,0.45171128431,0.45,0.446024096386,0.61945330058,0.617671691792,0.61452045607,0.8416824
30,0.130344146557,0.130388987433,0.130917022418,0.456719002975,0.453915662651,0.450120481928,0.62065883219,0.61759122548,0.61400541272,1.2388873
40,0.129135899317,0.129150564287,0.129686129176,0.480100907414,0.475903614458,0.474698795181,0.640472842785,0.636591478697,0.635268529363,1.637635
50,0.127318522914,0.127357697295,0.12788803922,0.514703113822,0.510391566265,0.505421686747,0.656924592084,0.654112139589,0.649295173003,2.034639
60,0.125250575969,0.125294939834,0.125902930906,0.556270943936,0.549548192771,0.551325301205,0.678804066392,0.673293282359,0.67407666725,2.4327951
70,0.124853316579,0.124876303229,0.125481512565,0.564403780263,0.559337349398,0.558072289157,0.686892744053,0.682852807284,0.68093249826,2.8245117
80,0.124427777375,0.124447669117,0.125061023423,0.569260890847,0.565361445783,0.562409638554,0.692191788194,0.689075630252,0.685649991345,3.2166627
90,0.123422741851,0.123389633211,0.124135227658,0.579088068075,0.576204819277,0.573975903614,0.701646694601,0.699551569507,0.697052775874,3.6079043
100,0.122511056797,0.122456121699,0.123230892558,0.58526299936,0.581777108434,0.57734939759,0.704446054362,0.702389883185,0.697534057596,4.0025924
110,0.121998209953,0.121934895655,0.122646899717,0.590986106405,0.587048192771,0.585301204819,0.710574694269,0.707738222127,0.705308219178,4.394194
120,0.120622387246,0.120554582289,0.121270134557,0.612786626002,0.60813253012,0.606144578313,0.717937465716,0.714254337799,0.71281735922,4.7912386
