iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.155132056736,0.15577917805,0.156488868961,0.410745886517,0.407981927711,0.413614457831,0.196034110757,0.198572884811,0.195138085001,0.0502312
10,0.169301609461,0.169902692649,0.170673659546,0.436462216198,0.438554216867,0.436746987952,0.110113562043,0.110687022901,0.10285933602,0.4771228
20,0.167226089031,0.167916081708,0.168696987812,0.430324936933,0.430873493976,0.430963855422,0.130559705781,0.132660087216,0.120647924036,0.8779739
30,0.164207766594,0.164922023341,0.165557489459,0.423660529387,0.422590361446,0.42686746988,0.129344178374,0.132186509733,0.122486626084,1.3034439
40,0.164402293977,0.165080796482,0.165831036689,0.424187657668,0.423042168675,0.424698795181,0.12895141539,0.129911424029,0.118515783644,1.6919735
50,0.163330490659,0.164066666092,0.164769405541,0.424037049588,0.42093373494,0.426024096386,0.13050645143,0.132250056421,0.120708748616,2.1084835
60,0.162381512089,0.163200130347,0.163928363074,0.423133401107,0.418825301205,0.42421686747,0.155076380081,0.154284461977,0.147064072818,2.5056255
70,0.160634585041,0.161379436468,0.162163901265,0.4148499567,0.407981927711,0.414819277108,0.189855601314,0.183592938733,0.186840783526,2.9134051
80,0.159188661282,0.159925135249,0.160813818769,0.428969464212,0.424246987952,0.426746987952,0.199176259373,0.190899470899,0.190265486726,3.3162277
90,0.157003844679,0.157580354387,0.158589911326,0.433450054595,0.427710843373,0.432048192771,0.219189455659,0.211945250933,0.213284379172,3.7160891
100,0.154638231138,0.155199982547,0.15615155788,0.449000338868,0.44563253012,0.449036144578,0.191312997347,0.185799601858,0.183538653812,4.1057723
110,0.146619728503,0.147098484189,0.148072601614,0.456304830754,0.455873493976,0.460481927711,0.271001615509,0.269953525965,0.275404530744,4.5020319
120,0.140587510907,0.140845385945,0.141483223265,0.441658194962,0.444879518072,0.440120481928,0.313948646773,0.319423929099,0.308996282528,4.9021801
130,0.139553425901,0.139837113198,0.140309889344,0.421664972326,0.422590361446,0.419036144578,0.343982232852,0.346180081855,0.337819280417,5.3023933
140,0.141071644728,0.14138236284,0.14193748756,0.418539854663,0.418674698795,0.414939759036,0.34444114276,0.345984412064,0.33769776323,5.7007585
150,0.138234323872,0.138481981403,0.138937498591,0.412139011258,0.409939759036,0.403734939759,0.365711964249,0.36457995459,0.355179153094,6.0959069
160,0.137010215271,0.137231939641,0.137546401469,0.404006174931,0.405271084337,0.39686746988,0.352623614576,0.355475763016,0.340968931016,6.4865477
170,0.136701907926,0.137001283142,0.137264766652,0.385707293196,0.384337349398,0.378795180723,0.363615087569,0.363636363636,0.355338834709,6.8824331
180,0.135418320788,0.135753568597,0.135979224609,0.437478820739,0.439006024096,0.436987951807,0.398017567894,0.400257607471,0.393195688872,7.2674085
190,0.135100795689,0.135395030837,0.13565859934,0.440679242441,0.44186746988,0.439879518072,0.401370139029,0.402643455835,0.395370009104,7.660562
200,0.135226701586,0.13537573714,0.135823497718,0.439813245981,0.439759036145,0.438072289157,0.409181161147,0.409336297237,0.402204562933,8.0495183
210,0.134910058355,0.135196971252,0.13551004922,0.441921759102,0.442921686747,0.439518072289,0.393882391429,0.394301621091,0.386279683377,8.4459568
220,0.134925381582,0.135253424927,0.135447808797,0.437478820739,0.439307228916,0.438795180723,0.402160864346,0.40479616307,0.400977366255,8.8436987
230,0.132566981449,0.132867452146,0.133262587373,0.497835008848,0.49578313253,0.496144578313,0.466413282657,0.463117382938,0.460247805885,9.2488558
240,0.132561904944,0.132872584902,0.133210067317,0.498023268948,0.494277108434,0.496024096386,0.470195517406,0.464433811802,0.463236237649,9.6343131
250,0.132206885972,0.132481887505,0.132795125605,0.50005647803,0.496686746988,0.499156626506,0.475468120408,0.470867637745,0.469838030863,10.0337113
260,0.131559280361,0.131831468401,0.132162735539,0.506796189616,0.502710843373,0.505421686747,0.479888822712,0.473868706182,0.473109998716,10.4319341
270,0.131547162315,0.131803549021,0.132114659118,0.506833841636,0.503614457831,0.505421686747,0.480485483103,0.475660197264,0.473650468009,10.8295389
280,0.130054258518,0.130169160658,0.130782306269,0.564328476223,0.564759036145,0.562289156627,0.481934184016,0.48040273283,0.473096446701,11.2232898
290,0.128527996381,0.128620067481,0.129173034213,0.582363793818,0.580572289157,0.581325301205,0.50277927201,0.499550763702,0.49732388254,11.6053939
300,0.128048668214,0.128180762102,0.128745661432,0.584698219059,0.581626506024,0.581927710843,0.508072428865,0.501793400287,0.499855866244,11.9969996
310,0.127760701622,0.127919906727,0.128394120108,0.583267442298,0.582530120482,0.580602409639,0.508394776583,0.504114490161,0.499352797354,12.3959471
320,0.126395094444,0.126777846231,0.126747240896,0.596219737189,0.594427710843,0.592048192771,0.517110951009,0.51398664501,0.506845324789,12.7814201
330,0.125297399378,0.125684163813,0.125592219492,0.595240784668,0.593072289157,0.59156626506,0.517807481834,0.514028776978,0.506550218341,13.1796312
340,0.12454294013,0.124974462445,0.124770801036,0.599005986671,0.592469879518,0.592530120482,0.525865906865,0.516785714286,0.510706018519,13.5742938
350,0.123474608696,0.123860049705,0.12368211978,0.612560713882,0.607078313253,0.603855421687,0.532655100372,0.524339106655,0.516754850088,13.9745327
360,0.121555777718,0.121811985033,0.121717459522,0.617267216386,0.617620481928,0.612771084337,0.527670647275,0.524798802171,0.515672091621,14.3730598
370,0.121593397065,0.12183972102,0.121747791484,0.619338077488,0.618222891566,0.613855421687,0.527746636771,0.522508947071,0.514467504923,14.7582908
380,0.112836698079,0.113123803728,0.112696320227,0.653601415716,0.650753012048,0.64843373494,0.572132824854,0.56662306111,0.560542168675,15.1515859
390,0.112707278203,0.112995988865,0.112566017274,0.654090891976,0.651506024096,0.649638554217,0.573669311801,0.568122433744,0.562706766917,15.5440113
400,0.11139183912,0.11156303034,0.11123566805,0.655258104597,0.652108433735,0.649879518072,0.566189709087,0.561003420753,0.5540208717,15.9264575
410,0.111387907699,0.111558686801,0.111231597669,0.655521668738,0.652409638554,0.649759036145,0.566747170526,0.561716672997,0.554209477074,16.3089591
420,0.110565241088,0.110748491996,0.110326953463,0.65868443842,0.655421686747,0.653975903614,0.570073511975,0.56419047619,0.559914189396,16.7143578
430,0.11034494244,0.11048804714,0.110130404577,0.661922512143,0.656475903614,0.657710843373,0.577200169515,0.568237743706,0.567382366377,17.1119111
440,0.111219485369,0.111337275676,0.111032204242,0.650438646033,0.64984939759,0.645421686747,0.549626467449,0.547929224188,0.537772891472,17.5203986
450,0.109896603591,0.110043481981,0.109691527303,0.663729809104,0.659337349398,0.660722891566,0.579737424121,0.572400756144,0.572166514737,17.9200782
460,0.110019225538,0.1101085034,0.109872399645,0.656651229338,0.657078313253,0.651445783133,0.561607615019,0.561356193412,0.549025720966,18.3141809
470,0.10666763546,0.106759555345,0.106368560347,0.693286644828,0.689006024096,0.68843373494,0.633129165916,0.625430799927,0.623141941125,18.7118113
480,0.103237709624,0.103301222061,0.102853122564,0.708272148801,0.705722891566,0.702891566265,0.654785243272,0.650447227191,0.64446366782,19.1025696
490,0.103253130247,0.103317145786,0.102865077327,0.708309800821,0.705722891566,0.702891566265,0.6548451771,0.650447227191,0.64446366782,19.4919422
500,0.102870967217,0.102938078878,0.102498685944,0.714409428066,0.711295180723,0.709879518072,0.663472203736,0.658105939005,0.65422171166,19.8850494
510,0.102941048024,0.103024263919,0.102543528263,0.722316352272,0.717620481928,0.718072289157,0.677482835527,0.669719922494,0.669117647059,20.2801228
520,0.100833876485,0.100907383677,0.100613132516,0.758499943522,0.758734939759,0.760602409639,0.725357540464,0.725214408233,0.726496902959,20.6749211
530,0.0993686100653,0.0994410742616,0.0991117667751,0.776836477277,0.774548192771,0.777228915663,0.75160303424,0.748107016658,0.750506004588,21.0600723
540,0.098131099651,0.0982038051199,0.0979371616309,0.788583907527,0.786295180723,0.788313253012,0.76800396645,0.76455948233,0.766573668128,21.4530932
550,0.0971743364731,0.0974066690134,0.0968362749806,0.802326894838,0.797439759036,0.80156626506,0.78594144989,0.779109870258,0.783602680331,21.8424472
560,0.097170572031,0.0974013608644,0.0968325476528,0.802477502918,0.797439759036,0.802048192771,0.786156856351,0.779254882652,0.784241628365,22.234826
570,0.096501561285,0.0968565068075,0.096182392959,0.767122256109,0.76686746988,0.763734939759,0.736191085519,0.735112936345,0.729479928266,22.6214668
580,0.0952367638007,0.0956439894375,0.0950301273278,0.797130916074,0.792319277108,0.795903614458,0.781348916484,0.774341351661,0.778272251309,23.0068208
590,0.102461805403,0.102896325378,0.102559842266,0.745171128431,0.740512048193,0.744698795181,0.709253372283,0.701748312273,0.706224871759,23.4173036
600,0.0930172728064,0.0934165125912,0.0928526574093,0.812417636206,0.805873493976,0.812168674699,0.802301587302,0.793197497192,0.800715837914,23.896677
610,0.0927680191198,0.0931710115199,0.0926354347708,0.811739899846,0.804819277108,0.811445783133,0.801398156975,0.792107795958,0.799795317897,24.3762726
620,0.0923710312148,0.0927783601374,0.0921800628726,0.814902669528,0.809487951807,0.814337349398,0.805476416588,0.798084596967,0.803368635958,24.7897861
630,0.0919635997782,0.0923715091948,0.0917509415034,0.818404307391,0.813102409639,0.817590361446,0.81018536739,0.803047135375,0.808014202384,25.2042519
640,0.0920583917017,0.0924413210952,0.0918514251245,0.81682292255,0.811144578313,0.816024096386,0.808018625942,0.800318471338,0.805749904592,25.615232
650,0.0900219465723,0.0903830875337,0.0895945295756,0.837117361346,0.834186746988,0.841445783133,0.833333333333,0.829116871023,0.837530864198,26.0289991
660,0.0904491130017,0.0909302876894,0.0901039167074,0.830377649761,0.826656626506,0.834337349398,0.824824046351,0.819620749099,0.828446662508,26.4404846
670,0.0908031083398,0.0912421822788,0.0904118883439,0.828495048759,0.824246987952,0.832891566265,0.824962533144,0.819768339768,0.829250276991,26.8555513
680,0.0892052302396,0.0896325283197,0.0888596454996,0.833088595203,0.828915662651,0.837590361446,0.827623750826,0.821943573668,0.83179435987,27.2766302
690,0.0887120402571,0.0891463183386,0.0882597435472,0.840091870929,0.836295180723,0.843734939759,0.836118078333,0.831027514379,0.839261370678,27.6892264
700,0.0880520761124,0.0884770825829,0.0875364657536,0.842915772431,0.838554216867,0.845421686747,0.839809553064,0.834260977118,0.841702652684,28.1002868
710,0.0878001351342,0.0883073169443,0.0873045366538,0.84114612749,0.836746987952,0.846144578313,0.838507177033,0.833025261861,0.843178189856,28.5139945
720,0.087694103224,0.0881910473415,0.0872157312723,0.840618999209,0.836897590361,0.845180722892,0.83783473164,0.833102172908,0.841923975889,28.928432
730,0.0880700932509,0.0885466131755,0.0876170620327,0.84114612749,0.83734939759,0.845060240964,0.838507177033,0.833692639359,0.842092337917,29.3451863
740,0.0867220211589,0.087158993816,0.0862030958206,0.845702021913,0.843524096386,0.850240963855,0.843048640368,0.839784117194,0.847203441918,29.7582873
750,0.0866710624486,0.0870873309917,0.08613946075,0.845513761813,0.843975903614,0.850361445783,0.842766813566,0.840172786177,0.8473826493,30.172396
