k,Speed Dating log-likelihood
2,-22.31051454684291
3,-21.574811759920166
4,-20.870824872781775
5,-19.17396591174424
6,-17.973898957487798
7,-18.57930092195563
8,-18.701294171711798
9,-17.767191138919046
10,-15.407882834060345
15,-16.32863748075642
20,-11.588505636124207
25,-10.795333145145998
30,-9.813357484526563
35,-8.670803069511953
40,-8.185748672981632
