k,Twitter Spam Users sse (left)
2,75840.56456086428
3,54033.15688940883
4,39249.28549208618
5,32602.846199884763
6,28748.226312094834
7,25449.96661124043
8,23403.746354363233
9,21982.84744775053
10,20598.898123967272
15,14644.883554990878
20,11610.546231060542
25,9734.225356787647
30,8397.971413463603
35,7577.922836031715
40,6959.332640270963
