k,Twitter Spam Users BIC
2,-15542.369772479358
3,-62227.880898518364
4,-67186.36165671682
5,-103733.35401153834
6,-121354.70919101057
7,-133986.3935349978
8,-140858.4322580436
9,-140885.69067538375
10,-215838.1568431888
15,-252464.3308149574
20,-257642.01959570122
25,-286665.15482833533
30,-283585.759119889
35,-293143.6914320289
40,-295621.38373792096
