,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.5658102989196778,0.037890100180792585,0.01719970703125,0.004833993019829441,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.0,283,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.0
1,4.80083999633789,2.044708757242994,0.01599884033203125,0.003520715579733751,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.757558135860749,0.7428306356310591,0.5000000000000001,0.751535398258051,0.7727551598804869,0.7049325306603097,0.10293325337623346,270,0.7450791637038023,0.7390705857443772,0.5000000000000001,0.7509626966847137,0.7825780544751622,0.7035381001216111,0.10287116451423223
2,6.377639675140381,2.1464476861080035,0.016399621963500977,0.0014983458956718625,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.7814785809877007,0.7719746432028062,0.7620466904960865,0.8091276594813821,0.8084896894794781,0.7866223773760556,0.019129132771811993,248,0.7744512879579611,0.7676369177565177,0.7603454076397932,0.8096044084625788,0.8082404365129714,0.7840556916659643,0.020792484647804747
3,4.023600339889526,0.94483501168668,0.019200229644775392,0.00039987734669840776,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.8092192923994261,0.8009736665952076,0.7536860981925713,0.8083335885443783,0.8177271017347003,0.7979869787471054,0.022778980452505357,232,0.8062694578980751,0.808433394637607,0.7550046554015329,0.8080561175063337,0.8262827940116309,0.8008092838910359,0.02403090040442254
4,6.303400182723999,4.039448454732099,0.021399164199829103,0.0025752824273102787,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.8269398105410426,0.8249653277566075,0.8295678766586895,0.8428263335020156,0.8245748845004307,0.8297751023192134,0.0067616158780026536,190,0.8262419235422693,0.81965902442644,0.8246855955538105,0.845417036587913,0.8307487138578625,0.8293504587936591,0.008779953072689197
5,7.110800266265869,2.5910911270081356,0.02400050163269043,0.005366085417697234,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.8167950499751837,0.8559015245092536,0.8120280722427121,0.8493758996189336,0.8375921279131436,0.8343383748443178,0.017362447134342922,171,0.8151216487626709,0.8541547643131947,0.8051120416984933,0.8524350141375803,0.8435251256489046,0.8340697189121687,0.020137895947872103
6,7.420002460479736,4.799525871351056,0.02199864387512207,0.003633901897271391,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.8804184343069756,0.8398205550378418,0.8060318279770612,0.835249968280913,0.8569484428987493,0.8436931938562442,0.02461387635680146,142,0.8685144112647529,0.8360585050974232,0.7981398099030701,0.8341699012809359,0.8614551902877857,0.8396675635667934,0.024797762875881074
7,8.472399520874024,3.0319078738589105,0.026801204681396483,0.003656123512597764,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.8255755252121776,0.8285650187811023,0.8485812210365847,0.8221600722563234,0.843426622179565,0.8336612116664227,0.01040767815563204,176,0.814514032415159,0.8339279167240704,0.8448997722830744,0.8302962644542758,0.8541986288118201,0.83556732293768,0.013475406646587572
8,9.320600843429565,4.946235518079966,0.03239870071411133,0.00578259610378174,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.8894392940424992,0.8237536829384368,0.8429754496697084,0.8299791310282673,0.8644730887645105,0.8501234236252894,0.0240997593908042,121,0.8807015526938521,0.8257324911657975,0.8394369224845412,0.8365197684556847,0.8676792407933223,0.8500139951186394,0.020675333843152136
9,18.38859987258911,4.636889876442394,0.07900094985961914,0.017764152924663927,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.8648841025880345,0.8715227495125469,0.8566059069933174,0.832032486178499,0.8525341817689289,0.8555160320446202,0.013457891969195113,112,0.8585806850274009,0.8700983978867559,0.8570111620248071,0.8428236427792295,0.8580345723464978,0.8573096920129382,0.008667486547126107
10,22.395401763916016,4.149290558097093,0.09479823112487792,0.03520409222907043,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.859580087899545,0.883506609479948,0.8653748369687541,0.8807156944098087,0.870313905445374,0.871898304755577,0.009047906169826729,68,0.8512500608474746,0.8766728573591168,0.8691563787083613,0.8834482502332562,0.8763228439163279,0.8713700782129074,0.011029480118494576
