,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
263,0.887798738,0.109687169,0.004999447,0.001548804,0.0001,"(25,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.49549245,0.510355657,0.496735505,0.517010858,0.451543538,0.494234556,0.022832358,289,0.510778636,0.517542998,0.509117088,0.499551909,0.46986774,0.501371674,0.016767847
264,1.155598068,0.114613344,0.005599928,0.000489941,0.0001,"(25,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.525087334,0.568669892,0.508161238,0.53984813,0.503676105,0.52910031,0.023588444,55,0.513177138,0.534021294,0.502734994,0.552603176,0.500945725,0.520696465,0.019823399
265,1.134798765,0.135700443,0.005000019,0.002096511,0.0001,"(25,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.5,0.502970885,0.5,0.5,0.5,0.50059462,0.001188686,250,0.5,0.520573301,0.5,0.5,0.5,0.50411466,0.00822932
266,1.614399004,0.238954167,0.00539999,0.002576093,0.0001,"(25,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.485209601,0.542632204,0.505138031,0.509190263,0.500248385,0.508479076,0.018918302,189,0.514098514,0.553824734,0.483482107,0.539290485,0.544104039,0.526959976,0.02539062
267,1.739199114,0.167613045,0.004600143,0.001020246,0.0001,"(25,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 30}",0.502155172,0.575099737,0.495827124,0.50262579,0.5,0.515154231,0.030082747,141,0.499312624,0.56018018,0.508009024,0.493933737,0.500131375,0.512313388,0.024351551
268,1.947598839,0.13890667,0.007801151,0.002482239,0.0001,"(25,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.499943656,0.543905441,0.498360656,0.5,0.502164502,0.50888125,0.017561943,186,0.48474611,0.536936937,0.500788251,0.50026275,0.498494714,0.504245753,0.017377242
269,2.260199738,0.24636926,0.00380187,0.000399854,0.0001,"(25,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.506366915,0.472031237,0.536299766,0.527563693,0.524618551,0.513355397,0.022856717,157,0.507926758,0.481097461,0.56590702,0.516256469,0.517626399,0.517762821,0.02742717
270,0.52139926,0.072622968,0.003200054,0.000979814,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,255,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
271,0.534798479,0.089369159,0.003399467,0.000489514,0.0001,"(25, 25)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 3}",0.49992957,0.496116628,0.480725286,0.49928323,0.501050316,0.495424626,0.007525169,288,0.500073125,0.4996724,0.50801389,0.500360065,0.501722918,0.501968479,0.003100278
272,0.584999466,0.141424717,0.002999687,0.000631659,0.0001,"(25, 25)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 4}",0.518354181,0.505496138,0.566205379,0.492214889,0.5,0.51645145,0.026281268,132,0.505791506,0.503013923,0.556571416,0.523884195,0.498494714,0.517551151,0.021332869
273,0.690198612,0.080242611,0.003199863,0.000400764,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.589038201,0.5090612,0.545688737,0.539117167,0.500794834,0.536768696,0.03125753,24,0.592722593,0.507371007,0.575827399,0.546492679,0.506553722,0.54579348,0.034988317
274,0.735798454,0.182731769,0.0056005,0.002058736,0.0001,"(25, 25)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 6}",0.54699121,0.490726594,0.512809595,0.495621319,0.545291321,0.518299131,0.023907187,127,0.515897391,0.50039312,0.515464237,0.519492635,0.578898129,0.526029102,0.027237221
275,0.70499897,0.123725049,0.003999901,0.001094236,0.0001,"(25, 25)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 7}",0.5,0.5,0.463004755,0.556624796,0.494826485,0.502887974,0.030182556,245,0.5,0.5,0.473408679,0.531331446,0.50213916,0.501375857,0.018351398
276,0.842598486,0.206754357,0.00400033,0.001097107,0.0001,"(25, 25)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 8}",0.566655398,0.562091503,0.507955433,0.5,0.517188276,0.530816537,0.028009971,45,0.560840061,0.569467649,0.525486796,0.5,0.5116402,0.533486941,0.027223013
277,0.939399862,0.209925293,0.004599619,0.001498327,0.0001,"(25, 25)",9,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 9}",0.477673541,0.522897038,0.520608899,0.543588106,0.486977503,0.510329337,0.024422967,176,0.481733357,0.542637183,0.53268324,0.555204583,0.491657451,0.520783163,0.028904112
278,0.981416798,0.351195403,0.004000568,0.001415393,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.517438585,0.539555216,0.496607764,0.549684196,0.533723653,0.527398985,0.018603353,65,0.494120744,0.543538084,0.537791834,0.617344628,0.507060203,0.539971098,0.042870777
279,1.113554049,0.361241128,0.004200315,0.000979015,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.474194275,0.456497751,0.505677383,0.492420694,0.512078632,0.48815152,0.020469027,299,0.492394992,0.487829648,0.557982483,0.498042642,0.491470783,0.50554411,0.026422774
280,1.533653116,0.593574946,0.006200457,0.002481816,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.484068627,0.493952126,0.516755376,0.498360656,0.533659783,0.505339191,0.017682575,210,0.513308763,0.516674857,0.505174946,0.500934666,0.534586632,0.514135973,0.011661339
281,1.459332561,0.094885014,0.005199909,0.001166671,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.494605026,0.491087344,0.495763253,0.488744589,0.513781847,0.49679265,0.008848055,284,0.514215514,0.497444717,0.515107268,0.513302075,0.506433406,0.509300596,0.006673355
282,1.903599501,0.484371352,0.00619936,0.001600117,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.553822966,0.501443001,0.511532184,0.505102548,0.604321908,0.535245772,0.039306418,28,0.536913537,0.486601147,0.543615694,0.53429513,0.576796125,0.535644327,0.028864088
283,1.845198774,0.226113738,0.00720005,0.00263764,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.512099955,0.538685171,0.558037045,0.540763608,0.580193031,0.545927815,0.022564156,12,0.545366795,0.518558559,0.528506657,0.520294599,0.551397797,0.532824881,0.013277318
284,1.954608631,0.222996896,0.005399656,0.002059825,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.515635565,0.489007724,0.554666099,0.528883685,0.498169044,0.517260668,0.02322972,130,0.5000585,0.501506962,0.559724422,0.532566019,0.493682045,0.51750759,0.025048611
