k,Twitter Spam Users log-likelihood
2,0.39559291095518073
3,1.5503896188331778
4,1.6791454501536716
5,2.584642493154677
6,3.024770273458986
7,3.342205252654683
8,3.5180142453021994
9,3.525514486457002
10,5.375377463681071
15,6.310141428505638
20,6.471607341028033
25,7.219417466491568
30,7.177846974735656
35,7.447020262378441
40,7.542094995721832
