k,Speed Dating sse (left)
2,740974.1392807561
3,696448.9330991164
4,661559.4238397835
5,622933.2242013828
6,581701.7367616312
7,559154.6492744368
8,521889.9724779871
9,494943.78883308114
10,467977.75209599856
15,358775.36333997955
20,297172.13190430903
25,246356.85816363478
30,216105.88571556844
35,190232.43592623383
40,169318.06093720265
