k,Speed Dating BIC
2,120752.4255597648
3,117325.69400126547
4,114069.14996100895
5,105484.85437220962
6,99566.34469179765
7,103335.98122926013
8,104511.64660357981
9,100020.29932574199
10,87881.3005579983
15,95427.31797280989
20,72597.01847515389
25,70946.10286920528
30,68282.06945496185
35,64756.37044463391
40,64758.81653349265
