k,Twitter Spam Users BIC
2,57766.48325009531
3,36325.6342871235
4,31187.803999280495
5,30909.76703961389
6,27983.756837952656
7,27021.29167662866
8,25122.313745388787
9,25284.026495530245
10,24662.456500129658
15,23558.233932448373
20,21963.798193208848
25,21866.39445971497
30,21435.636849190356
35,21919.043749970013
40,21875.348377759266
