k,Speed Dating BIC
2,60901.7866313048
3,60754.18556783036
4,45303.2681405279
5,45374.264030656384
6,45667.285897892274
7,42300.601622525246
8,46217.293166103496
9,46488.49742960184
10,46784.850964510944
15,44733.82769796884
20,43700.92134436473
25,41425.908367993674
30,45656.904258034585
35,53314.0847648881
40,51993.63179195466
