k,Speed Dating log-likelihood
2,-11.189203378421247
3,-11.080778283332195
4,-8.120449281454471
5,-8.052761598516541
6,-8.026450355591175
7,-7.318121568386472
8,-7.967112166001984
9,-7.93673502599545
10,-7.9110446678395965
15,-7.124227066197936
20,-6.527144260109387
25,-5.698584260065014
30,-6.082474663750044
35,-7.1048638778735
40,-6.454194299640087
