k,Speed Dating sse (left)
2,18637.791570685673
3,16966.501960325448
4,15706.381578567321
5,14770.133703115029
6,14088.356487641977
7,13437.317717882459
8,12840.003244163127
9,12387.71620096264
10,12075.334872185009
15,10947.379272722628
20,10153.476289751348
25,9564.679349241258
30,9106.126456104139
35,8742.71141419882
40,8457.659940558482
