k,Twitter Spam Users log-likelihood
2,-1.4177575170661485
3,-0.8890772460713413
4,-0.7612777332925467
5,-0.752977417134594
6,-0.6795651396804226
7,-0.6544351736341699
8,-0.6062769600735107
9,-0.6087898068399229
10,-0.5920422339756168
15,-0.5575722807714677
20,-0.5110483005298876
25,-0.5013353758048229
30,-0.48342549334810836
35,-0.48799432908024676
40,-0.47960205846364895
