k,Twitter Spam Users sse (left)
2,25140.73304673948
3,12603.211060328716
4,9451.36518374721
5,6536.156935093169
6,5064.479151802596
7,4028.574030849115
8,3354.6195373497358
9,2867.140471112156
10,2450.0690220953998
15,1485.781310660389
20,1057.8362250046264
25,807.0063027384767
30,658.3094178304993
35,554.1237672684732
40,473.1869606546232
