,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.54626841545105,1.0443707559563469,0.008212471008300781,0.0004024040220117558,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.7413576007871143,0.7518426232366501,0.7421148039995766,0.726306603770213,0.7456079589414542,0.741446292994887,0.008426599552034345,354,0.7430689153890809,0.7431399175456687,0.7446440119367537,0.7303920110924379,0.7501754175063192,0.742284054694052,0.006490180487109486
1,19.924492120742798,11.61579027801264,0.016799068450927733,0.010497038972717488,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.8086278265491076,0.8150832439220259,0.7480089236236286,0.8577947067949662,0.8181143144713073,0.8095238148663603,0.03526887598899074,331,0.8130695890016403,0.808536001988516,0.7510364707920334,0.859798416413414,0.8121655618207839,0.8089212080032777,0.034545669534394065
2,16.163628387451173,3.777215066081254,0.008604812622070312,0.0004979118764709436,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.8566829712232751,0.8673813854649787,0.8113136179465256,0.8745031559027138,0.8687204517602833,0.8557192554825861,0.02293757433792548,272,0.8637590010808176,0.8604161143941628,0.8173621075589738,0.8769585713964045,0.8614118331869116,0.8559815255234542,0.020204647204484907
3,13.611753940582275,2.11504348092299,0.008240318298339844,0.00039610287848245877,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.8699166524591133,0.8827894874930761,0.8813760563962343,0.8841594628591389,0.8851336716436261,0.8806744223816091,0.005527123657225663,234,0.8795126234457553,0.8759083863756876,0.8876254370443588,0.887998439079146,0.8776994505327843,0.8817488672955465,0.005081358077138895
4,13.686180686950683,1.343899269519633,0.009403038024902343,0.0004942551453233506,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.8844287753914382,0.8982626754745289,0.8864014303903645,0.8949851896913291,0.8977273187586838,0.8923605298103482,0.00581310041350783,214,0.8913677354593047,0.8941496708176716,0.8867792532092102,0.8970719335525594,0.8909745352920148,0.8920686256661522,0.003435973822541094
5,16.404350423812865,4.874892972165972,0.009004020690917968,2.2888481615033646e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.8948029880627978,0.8869812491715386,0.8999910558918627,0.8955692145735057,0.9012650059963223,0.8957216855430964,0.005024293034230284,183,0.9045086076785757,0.881959309120218,0.9018061237091897,0.9002395347309543,0.8908955215825966,0.8958818193643069,0.008333162651375106
6,16.00079803466797,5.180572399464902,0.00880126953125,0.0009816264915801706,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.8948029880627978,0.8869812491715386,0.8999910558918627,0.8955692145735057,0.9012650059963223,0.8957216855430964,0.005024293034230284,183,0.9045086076785757,0.881959309120218,0.9018061237091897,0.9002395347309543,0.8908955215825966,0.8958818193643069,0.008333162651375106
7,16.30318388938904,4.9646051416878185,0.009014415740966796,2.3830124829016102e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.8948029880627978,0.8869812491715386,0.8999910558918627,0.8955692145735057,0.9012650059963223,0.8957216855430964,0.005024293034230284,183,0.9045086076785757,0.881959309120218,0.9018061237091897,0.9002395347309543,0.8908955215825966,0.8958818193643069,0.008333162651375106
8,16.403828144073486,4.932914095701197,0.009218168258666993,0.0003921587004883454,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.8948029880627978,0.8869812491715386,0.8999910558918627,0.8955692145735057,0.9012650059963223,0.8957216855430964,0.005024293034230284,183,0.9045086076785757,0.881959309120218,0.9018061237091897,0.9002395347309543,0.8908955215825966,0.8958818193643069,0.008333162651375106
9,16.28067054748535,4.953554343156314,0.008827924728393555,0.0009601356490551965,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.8948029880627978,0.8869812491715386,0.8999910558918627,0.8955692145735057,0.9012650059963223,0.8957216855430964,0.005024293034230284,183,0.9045086076785757,0.881959309120218,0.9018061237091897,0.9002395347309543,0.8908955215825966,0.8958818193643069,0.008333162651375106
10,16.170857429504395,4.972760681615499,0.009009218215942383,0.00065565588862659,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.8948029880627978,0.8869812491715386,0.8999910558918627,0.8955692145735057,0.9012650059963223,0.8957216855430964,0.005024293034230284,183,0.9045086076785757,0.881959309120218,0.9018061237091897,0.9002395347309543,0.8908955215825966,0.8958818193643069,0.008333162651375106
