,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,10.492224645614623,1.4997504704790159,0.016275548934936525,0.0031479141250866788,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.9243801974643565,0.9266715924764211,0.9237050306975846,0.9231886948413993,0.923351023258773,0.9242593800320235,0.001273741743953345,356,0.926738603842379,0.9239068019351854,0.9246592660103938,0.9248648662731115,0.9250601302516621,0.9250459336625465,0.0009322287536710811
1,9.307924699783324,1.8647069514824262,0.014312076568603515,0.0020744828401833386,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.9222915085183411,0.9261759150054862,0.9231577846670832,0.9207909998691841,0.9212124580537411,0.9227258369710484,0.001913728983040894,359,0.9244895508755266,0.9219622555661439,0.9227965173872692,0.9243553711364744,0.9236600839897494,0.9234527557910328,0.000957588978007626
2,8.138246774673462,1.7205438214725646,0.014361190795898437,0.0010268496214199169,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.9310842776197222,0.9349163690160373,0.9286482880131444,0.9315672835503946,0.9326907153387428,0.9317813387770577,0.002049573504269196,269,0.9342118616917968,0.9314901519995374,0.932886423442692,0.9320379935728319,0.9315000825308057,0.9324253026475328,0.0010281024194658888
3,13.653883457183838,1.6169141618829375,0.01461181640625,0.0013746598296357736,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.9334434061553789,0.9370117436973514,0.9335384880693814,0.9369055354645595,0.9353344346646288,0.9352465994083816,0.0015521061661606394,160,0.9364916247802942,0.9355584843833527,0.9374590834468771,0.9363951921106876,0.9356932429507805,0.9363195255343983,0.0006790212552234657
4,12.964285898208619,3.8871075944151485,0.014299154281616211,0.001968586116795815,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.9315039560496081,0.9363763666412636,0.9305744273061359,0.9364889024549774,0.9355836758016164,0.9341052431591869,0.0025400737317315455,195,0.9360217487518068,0.9387555382649752,0.9335897738822356,0.9377530890433889,0.9343024639586017,0.9360845227802017,0.001965801789638637
5,12.462766027450561,1.497709974416422,0.014648628234863282,0.0017401426595672336,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.9309287882496706,0.9341262862812506,0.9338759465301922,0.935944432093585,0.9393048388284332,0.9348357318991816,0.002752857602915686,172,0.9356255993499014,0.9357451199210193,0.9359115070177597,0.9359082882701487,0.9373525680665145,0.9361086165250686,0.0006311631132628399
6,11.82489857673645,3.3886562776759805,0.013443422317504884,0.00153691722913864,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.9323318833691618,0.9376596258313941,0.9325546361742845,0.936361065103167,0.9366447973057176,0.9351102100328549,0.0022212914002227415,164,0.9331415860341712,0.9382375243362812,0.9351249630298456,0.9350007657593363,0.9368343267114535,0.9356678331742175,0.0017369877019161777
7,10.744248104095458,1.134654467485216,0.014149093627929687,0.0011813418495022828,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.934568084818618,0.933518956328576,0.9345703951926192,0.9340157917850025,0.9372777887783825,0.9347901367589877,0.0013038902245753505,175,0.9363175933127605,0.9355494507498736,0.9371366419136918,0.9346968439736042,0.9357186442021597,0.9358838348304179,0.0008131076140401922
8,12.011514949798585,1.611192755225781,0.014595842361450196,0.0031161841582774694,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.9329402682703584,0.9360118733928742,0.9360744583306388,0.9345126656673192,0.936859547377142,0.9352796540950786,0.0013946802367815678,156,0.9380980656598928,0.9373210478895728,0.9372789616539939,0.9362875764061267,0.9349517497182135,0.9367874802655599,0.001082930556549925
9,9.329397058486938,1.616811429315348,0.012505578994750976,0.0009498391929597989,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.9355601331922421,0.9355211979531213,0.93497395192262,0.9377599488555279,0.9344586356216099,0.9356547389578255,0.0011271235507397735,146,0.9381571854358891,0.9366124827320627,0.9358207724140005,0.936357620589417,0.9345368626123539,0.9362969847567445,0.001173743617821168
10,13.39694685935974,1.4752397107713717,0.015885353088378906,0.0014318326174075735,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.9353485676404953,0.9372019995262362,0.9344342089388917,0.9385389465487369,0.9407775298868954,0.9372600195998451,0.0022649438967399078,76,0.9396072392087537,0.9388524665094883,0.9369820800553379,0.939528255030797,0.9381001092160763,0.9386140300040907,0.0009804589845962026
