,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.9665470600128174,0.06196386507152309,0.11820068359375,0.007729702837582298,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.693052742193063,0.6949746624541121,0.7494926327495136,0.7331526271893245,0.7174242424242426,0.7175947536721832,0.021789719027046246,354,0.7128083049005592,0.715118137904557,0.7292553716902953,0.7328538279846044,0.734182562087018,0.7248436409134068,0.009058439554002028
1,2.2212891578674316,0.5159826291725917,0.11939988136291504,0.008357217194515584,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.7192786576977052,0.7144254633694441,0.7630455935501808,0.7419168751737559,0.7399916597164305,0.7357119528859917,0.017478018507344026,235,0.733445618388431,0.7317476774779894,0.7319565967077547,0.7336319194250787,0.7351283157699552,0.7331820255538417,0.0012344198266947737
2,2.2164016723632813,0.25814755166182607,0.16679906845092773,0.05169657278290492,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.7070592545991274,0.7132882119919527,0.7623505699193772,0.7311857103141507,0.7397484014456492,0.7307049870913405,0.019728869267768238,272,0.7235583878671407,0.7466927243188607,0.7313461675097435,0.7372572363370434,0.7302496477793201,0.7338208327624216,0.007767748287546676
3,1.8736011505126953,0.20495018479428287,0.14039969444274902,0.02425981213341983,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.7227630023436363,0.7190989097596214,0.7488393105365582,0.7332777314428691,0.6981025854879067,0.7244126716576108,0.016715560711801598,322,0.7406191367571237,0.7392077287979714,0.7273915914136135,0.7313574316397281,0.7115715540860198,0.7300294885388913,0.010447947377628003
4,2.2348012924194336,0.49444440617878394,0.1691066265106201,0.09121897796138337,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.7299045261913484,0.713011676702593,0.7585001390047261,0.7383931053655823,0.7184111759799835,0.7316334976032526,0.016072736426114016,261,0.7426530652084791,0.7427168356003635,0.740272124050997,0.7411312305802067,0.7322594285100329,0.7398065367900158,0.0038859488346548007
5,2.380538558959961,0.3141956583370414,0.15539889335632323,0.04331205472641102,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.741757520031525,0.7282072908529039,0.7483041423408396,0.7127606338615512,0.7503961634695582,0.7362837909619078,0.014081133015900202,227,0.7462046856054607,0.7488754503512793,0.7378247751939596,0.7199083099819253,0.7372788981254755,0.7380184238516201,0.010133612666687535
6,2.60479941368103,0.6336384500675922,0.12740015983581543,0.013692660654303973,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.7348475944886516,0.7231743485865587,0.7547748123436198,0.7463372254656658,0.746177370030581,0.7410496971014865,0.010962947067394774,173,0.7484012936279496,0.7483305822410302,0.7434763357958454,0.7493115883636338,0.7509864778451892,0.7481012555747297,0.0025028747281565606
7,2.484001398086548,0.38222414062124277,0.12360048294067383,0.009308488945096194,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.7292615816435873,0.7319612574059604,0.7446205170975815,0.7464206283013624,0.7591187100361413,0.7422643687150046,0.01079103198760647,166,0.7472907344223465,0.7509731491945193,0.7358041635690309,0.7477610375476774,0.7460805160011298,0.7455819201469408,0.005149506210116704
8,2.3739996433258055,0.7160357987850844,0.1268012046813965,0.022613912178728976,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7337933036979679,0.7206094837777485,0.7238184598276342,0.7335209897136503,0.7355296080066724,0.7294520184828078,0.006038720374350098,286,0.7537465105231992,0.7303076379143177,0.7111716774715666,0.7434061516013258,0.7439949190109053,0.736525379304263,0.014704944174708467
9,2.544200134277344,0.34655827282063184,0.1462000846862793,0.0537391537599838,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7281174168838619,0.7398355997704755,0.763087294968029,0.7551431748679455,0.758625243258271,0.7489461118989889,0.013033499757860173,115,0.7684974264091847,0.7531485004197133,0.7589939745569299,0.770119035859791,0.7685086985077627,0.7638535271506763,0.006643882431124536
10,2.733999156951904,0.4574000234516999,0.13560037612915038,0.021951069860162816,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.7553976231791878,0.7378687425249054,0.7675910480956353,0.7501042535446206,0.7836877953850433,0.7589170634277836,0.015632172513189237,64,0.7829511809452333,0.7628162219730212,0.7689085751222158,0.7618143394107646,0.7868631650818901,0.772670696506625,0.010356053684581486
