iterations,fitness,time,fevals
0,0.0197705111664,3.039999865e-05,11
10,0.0190552122893,5.57999992452e-05,21
20,0.020164960044,7.80999980634e-05,31
30,0.0207557394528,0.000101300000097,41
40,0.0215921173076,0.000127899998915,51
50,0.0220112175255,0.000151500000356,61
60,0.0222021216908,0.000172800002474,71
70,0.0231339547157,0.0001955000007,81
80,0.0237335114508,0.000218100001803,91
90,0.0245785017686,0.00023770000189,101
100,0.0246385193013,0.000275200000033,111
110,0.0250862269923,0.000306799996906,121
120,0.0253916602898,0.000331099996401,131
130,0.0260588722254,0.000353899999027,141
140,0.0261704761498,0.000378199998522,151
150,0.0269973096878,0.00040529999751,161
160,0.0280119428884,0.000427099996159,171
170,0.0289421583383,0.000446399993962,181
180,0.0289421583383,0.000476999994135,191
190,0.0290419143514,0.000500299993291,201
200,0.0290976065237,0.000524799994309,211
210,0.0293964340847,0.000543599995581,221
220,0.0296357055463,0.000568499996007,231
230,0.0300223128071,0.000594499997533,241
240,0.0300499447399,0.000616099998297,251
250,0.0302154422658,0.000642799997877,261
260,0.0307872926705,0.000672800000757,271
270,0.0310365350158,0.000711500000762,281
280,0.0319756447147,0.000756699999329,291
290,0.0319756447147,0.000780899998063,301
300,0.0324144514597,0.000802899994596,311
310,0.0328994637022,0.000827299994853,321
320,0.0331416920757,0.000866099995619,331
330,0.0333037078838,0.000889399994776,341
340,0.0333441964782,0.00091529999554,351
350,0.0333480373073,0.00094139999419,361
360,0.0335871846644,0.00096809999377,371
370,0.0335871846644,0.000992999994196,381
380,0.0336719279652,0.00101459999496,391
390,0.0337464042912,0.00104289999581,401
400,0.0338231961884,0.00106919999598,411
410,0.0343175656439,0.00109459999294,421
420,0.0343175656439,0.00111959999413,431
430,0.0343175656439,0.00114719999692,441
440,0.0347217815502,0.00118189999557,451
450,0.0348537650557,0.00120709999464,461
460,0.0353853891576,0.00124549999236,471
470,0.0353853891576,0.00127229999271,481
480,0.0353853891576,0.00129739999466,491
490,0.0363290398197,0.0013159999944,501
500,0.0365077681902,0.00134149999212,511
510,0.0365094945113,0.00136519999069,521
520,0.0365094945113,0.00138859999061,531
530,0.0373562721935,0.00140989998908,541
540,0.0374450065481,0.00143919998663,551
550,0.0374450065481,0.00146329998825,561
560,0.0374450065481,0.00148759998774,571
570,0.038018196684,0.00151089999054,581
580,0.0383853352042,0.00153969999155,591
590,0.0384356389727,0.00156659998902,601
600,0.0387551159324,0.00158709998868,611
610,0.0387551159324,0.00161889999072,621
620,0.0389973902597,0.00165259998903,631
630,0.0389973902597,0.00167939998573,641
640,0.0389973902597,0.00172219998785,651
650,0.0389973902597,0.00174819998574,661
660,0.0389973902597,0.00177349998557,671
670,0.0389973902597,0.0017929999849,681
680,0.0392499263772,0.00181479998355,691
690,0.0392996086772,0.00183859998288,701
700,0.0392996086772,0.00186099998245,711
710,0.0392996086772,0.00188939998043,721
720,0.0401031745319,0.00191529998119,731
730,0.0404650506186,0.00193999998373,741
740,0.0404650506186,0.00196189998314,751
750,0.0404650506186,0.00198829998408,761
760,0.0404650506186,0.00202379998518,771
770,0.0405162907135,0.00204859998485,781
780,0.0414668744863,0.00207309998586,791
790,0.0414668744863,0.00209959998392,801
800,0.0414668744863,0.00212809998266,811
810,0.0414668744863,0.00215569998545,821
820,0.0414668744863,0.00219089998427,831
830,0.0420169775073,0.00222259998554,841
840,0.0420169775073,0.002253499988,851
850,0.042023718098,0.00229999998555,861
860,0.042023718098,0.00232639998649,871
870,0.042023718098,0.00235419998717,881
880,0.0427867725178,0.00238149998404,891
890,0.0428962897878,0.00240689998463,901
900,0.0430666063229,0.00242959998286,911
910,0.0431681752413,0.00245129998439,921
920,0.0431681752413,0.00247499998295,931
930,0.0432522725193,0.00250309998228,941
940,0.0432522725193,0.00252999998338,951
950,0.0433079154694,0.00255739998465,961
960,0.0438946463222,0.00258899998516,971
970,0.0438946463222,0.0026153999861,981
980,0.0438946463222,0.00263889998678,991
990,0.0438946463222,0.00266069998906,1001
1000,0.0438946463222,0.00268809999034,1011
1010,0.0438946463222,0.00271439999051,1021
1020,0.0439158064917,0.00273609999203,1031
1030,0.0439158064917,0.00275609999153,1041
1040,0.0439158064917,0.00277899999128,1051
