k,Twitter Spam Users BIC
2,-310214.28127542255
3,-310738.68628679035
4,-310768.33760386525
5,-311024.6986490699
6,-311140.5299544845
7,-311617.05017139897
8,-311685.2916938391
9,-311733.7742976064
10,-311741.3495854479
15,-311684.4185358101
20,-311466.84608397936
25,-311233.69760941714
30,-310991.78293783567
35,-310731.31506737386
40,-310441.19577491656
