k,Speed Dating sse (left)
2,9.152189673956148
3,8.65891541317021
4,8.17644827215812
5,7.778144254852242
6,7.452608822701084
7,7.2030115008558395
8,7.014070035864519
9,6.826426298558469
10,6.665058379439449
15,6.122782244848397
20,5.710382736267718
25,5.396919335992627
30,5.106998719203558
35,4.856347022367892
40,4.685312791771133
