k,Twitter Spam Users sse (left)
2,0.9703717639135987
3,0.7198211689930645
4,0.5754016830474507
5,0.48070655667316675
6,0.42293996686802765
7,0.37793583478019477
8,0.3380578794657114
9,0.309215146815047
10,0.27781646424110096
15,0.18125766253438289
20,0.13488071502925247
25,0.10695602409427978
30,0.08782497108345338
35,0.07448521817446029
40,0.06486919631220378
