k,Twitter Spam Users log-likelihood
2,7.630653138130023
3,7.645011486443508
4,7.6472041591817765
5,7.654971478524986
6,7.65928326182536
7,7.672464153798398
8,7.6756057349011115
9,7.678261456884298
10,7.679911294242579
15,7.685829225775657
20,7.687797088404611
25,7.689381946638674
30,7.690751249718333
35,7.691664341553762
40,7.691848323966661
