,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4029989719390869,0.04109809450390023,0.005799198150634765,0.0007493276726371216,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
1,0.37019901275634765,0.07122689224264596,0.007200098037719727,0.0013244143493745708,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
2,0.4886003971099854,0.05373063620993882,0.0053985595703125,0.0008010039741227834,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
3,0.4483978748321533,0.06670042288934684,0.008601236343383788,0.001019297167609179,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
4,0.48220157623291016,0.055668659186291665,0.010200405120849609,0.0027864386775958974,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5000000000000001,0.5033528562940328,0.5428571428571428,0.5,0.5,0.5092329155427969,0.016850503403060182,13,0.4999999999999999,0.5008517608517609,0.5080311407970983,0.5,0.5,0.5017765803297718,0.0031446313205445507
5,0.6821990013122559,0.11124382752173187,0.01000041961669922,0.0018966015797476864,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
6,0.7074098587036133,0.1242898289924088,0.010999298095703125,0.0010969764443026278,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
7,0.8830489158630371,0.24709367985213251,0.0118011474609375,0.0011649395232748423,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5139095876800794,0.5027788069312421,0.005561500759238061,55,0.4999999999999999,0.5,0.5,0.5,0.5213659485999912,0.5042731897199982,0.008546379439996487
8,0.8650383472442627,0.14655801761026527,0.010798263549804687,0.0015992886078683662,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5000000000000001,0.5128172481113656,0.4999999999999999,0.5,0.5007948335817187,0.5027241494728307,0.005058268730047737,60,0.4999999999999999,0.5064701064701065,0.5,0.5,0.5181788826469679,0.5049297978234148,0.00708264808003355
9,1.3877976894378663,0.189615043029479,0.015802383422851562,0.0027112030983799354,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5192838629704757,0.5047746371275783,0.4999999999999999,0.5,0.5,0.5048224742510717,0.007474897248159547,40,0.5222446472446473,0.5124324324324323,0.5,0.5,0.5,0.5069354159354159,0.009043116014291561
10,1.7723984718322754,0.3900053565564071,0.023800086975097657,0.003597786890386659,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5037187288708588,0.5021220609455903,0.5063657653821588,0.5,0.5,0.5024421442807085,0.002409516072074909,65,0.5151076401076401,0.5106142506142506,0.5050223382138276,0.5,0.5,0.5061488457871437,0.005951226164208452
11,2.278610897064209,0.2363537158424021,0.029199695587158202,0.0014686280609678265,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.5000000000000001,0.5107800696035989,0.4999999999999999,0.5,0.5,0.5021576210872652,0.004313232748496225,71,0.4999999999999999,0.5163963963963963,0.5,0.5,0.5,0.5032792792792792,0.006558558558558547
12,2.384450817108154,0.28977204529311795,0.036197757720947264,0.005267713464689877,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
13,2.22406210899353,0.285402284814969,0.03621225357055664,0.004914286753840301,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
14,2.7230531692504885,0.2714818399532585,0.04559898376464844,0.006530262545588868,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
15,0.3344010353088379,0.0811221470828428,0.005400419235229492,0.0010182959277627666,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
16,0.3771975994110107,0.08153097019306871,0.00879979133605957,0.0023146468802412467,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 3}",0.5000000000000001,0.4956285544520838,0.4983606557377049,0.5,0.4824285004612873,0.49528718653128173,0.006620687729915419,287,0.4999999999999999,0.4975266175266174,0.5022935373999203,0.5,0.4975711062945105,0.49947825224420955,0.001784172396024244
17,0.43679986000061033,0.10125394128692758,0.0065996646881103516,0.0023333410610799515,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 4}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
18,0.4766519546508789,0.08994298140503193,0.00780034065246582,0.001166223995916755,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
19,0.4264192581176758,0.09317768713247035,0.008800220489501954,0.0026374044928082533,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 6}",0.5000000000000001,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5,8.602955246950276e-17,98,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
20,0.8643994331359863,0.1266302435809752,0.007599878311157227,0.0021543676866197198,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 7}",0.5000000000000001,0.4999999999999999,0.48944716485700096,0.5,0.5,0.49789179290471586,0.004219363076013763,283,0.4999999999999999,0.5,0.4955212987127881,0.5,0.5,0.49910425974255757,0.0017914805148847468
21,0.8231989860534668,0.16793381929966578,0.010398960113525391,0.0004922439339739619,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 8}",0.5000000000000001,0.5084882437823615,0.4999999999999999,0.5076857568660847,0.5160740898445816,0.506445570163267,0.00602443999904588,31,0.4999999999999999,0.5083701883701884,0.5,0.4901380103507763,0.5182089618259831,0.5033434321093896,0.009412677542797874
22,0.8969978332519531,0.19890662590749125,0.012600517272949219,0.0018536130023979968,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 9}",0.5166920216362407,0.4999999999999999,0.4999999999999999,0.5,0.5134483003335463,0.5060337669098316,0.007456183497550987,36,0.49666549666549664,0.5,0.5,0.5,0.5204764011146991,0.5034283795560391,0.00862128741194176
23,0.7515984058380127,0.1560346992623084,0.013798666000366212,0.0029264094105907394,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.5000000000000001,0.4999999999999999,0.49659357036406204,0.5,0.5021645021645021,0.4997518922382819,0.0017867754082711023,265,0.4999999999999999,0.5,0.5084531339850489,0.5,0.5018693325076304,0.5020644932985359,0.0032753386174493543
24,1.5515993595123292,0.1991500816155849,0.017800188064575194,0.0027139200184428474,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.5407651566373676,0.5096341566929802,0.4999999999999999,0.5,0.5,0.5101025704118651,0.015803228650927585,12,0.5269831519831519,0.5146928746928747,0.5,0.5,0.5,0.5083352053352053,0.010923303692438633
25,1.9474425315856934,0.3655658810949491,0.028600692749023438,0.0054632798510662675,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.4692218841559613,0.4999999999999999,0.5101199347100986,0.5,0.5402810304449648,0.5038972385385841,0.022789766511016316,45,0.5003510003510003,0.5,0.5199088777812183,0.5,0.5256301145662848,0.5091779985397007,0.01124465297340061
