,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
211,0.864427519,0.028754742,0.005199051,0.000400854,0.001,"(100, 25, 100)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 3}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
212,0.901475239,0.03772705,0.008200121,0.004118209,0.001,"(100, 25, 100)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 4}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
213,0.957632971,0.052748493,0.014002419,0.01265729,0.001,"(100, 25, 100)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
214,0.991200876,0.046126754,0.008800411,0.002227852,0.001,"(100, 25, 100)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 6}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
215,1.075401258,0.030276771,0.008800173,0.001938843,0.001,"(100, 25, 100)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 7}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
216,1.180800867,0.028659882,0.008598661,0.001623956,0.001,"(100, 25, 100)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 8}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
217,1.216601944,0.067464015,0.007798672,0.002315161,0.001,"(100, 25, 100)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 9}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
218,1.295801353,0.064935399,0.013000154,0.008025384,0.001,"(100, 25, 100)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
219,1.522041845,0.091757596,0.010600042,0.001854636,0.001,"(100, 25, 100)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
220,1.813915682,0.050676766,0.01060009,0.00355674,0.001,"(100, 25, 100)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
221,2.010999966,0.064235173,0.009400606,0.001356094,0.001,"(100, 25, 100)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
222,2.209800243,0.068999582,0.016601133,0.015265455,0.001,"(100, 25, 100)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 30}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
223,2.398399591,0.061411412,0.013599443,0.00427083,0.001,"(100, 25, 100)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
224,2.545200729,0.052536603,0.009998989,0.00562076,0.001,"(100, 25, 100)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
225,0.624401379,0.043556083,0.009198999,0.007518619,0.0001,"(50, 50)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.5,0.5,0.5,0.5,0.5,8.60E-17,10,0.5,0.5,0.5,0.5,0.5,0.5,4.97E-17
