k,Speed Dating log-likelihood
2,38.75755350660586
3,39.73335580339314
4,40.472559454681154
5,40.74255933170893
6,40.94539542889899
7,41.160549442313055
8,41.346824218492664
9,41.55646414384403
10,41.890837770119376
15,42.750565349252966
20,43.776121917125245
25,44.54547769092256
30,45.36239790917446
35,46.01735282659964
40,46.814681243096395
