k,Speed Dating BIC
2,-206086.20100319534
3,-210374.99322570476
4,-213394.1971164652
5,-213895.6535545452
6,-214036.70915001596
7,-214243.86268394475
8,-214296.05023087346
9,-214473.61516825785
10,-215320.50114480025
15,-215196.9848241757
20,-215963.30685712298
25,-215354.85542906402
30,-215001.63480994836
35,-213779.30838659647
40,-213320.9581592627
