k,Speed Dating BIC
2,284438.4328999213
3,283554.60998529266
4,285223.96311772853
5,280288.07776607684
6,279880.0210241043
7,275037.77262337203
8,278226.26204237127
9,279597.8941978096
10,277022.39328764344
15,271572.38101308746
20,266810.55676937994
25,264934.7129848733
30,274390.26276055
35,272189.62116900296
40,270578.59455470357
