k,Speed Dating log-likelihood
2,-51.25822688758204
3,-50.21812924117282
4,-49.65383779063846
5,-47.85860364832483
6,-46.90716909782618
7,-45.12938500227352
8,-44.848197593215744
9,-44.22842329195506
10,-42.87306698070469
15,-37.48046214384815
20,-32.216107033202654
25,-27.489579067395184
30,-24.87475321865506
35,-20.08769640323142
40,-15.410519382300436
