k,Twitter Spam Users BIC
2,124019.18189319874
3,123480.06992488466
4,123394.87553003484
5,123036.77821784702
6,123075.09277520062
7,122949.89521276098
8,122413.02702907748
9,122519.966237389
10,122537.23063448744
15,122363.11918686722
20,122633.2290597844
25,122881.73002346417
30,123136.97743321372
35,123415.85004956121
40,123669.13022528529
