,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.7773996353149415,0.027324701147112964,0.015000343322753906,0.0008938320861490986,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.0,284,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.0
1,2.222997760772705,0.27540104102714036,0.013800430297851562,0.0007482151418962658,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.7546832442039141,0.7552177290494824,0.7395154441571499,0.7403446369951014,0.749512870125692,0.7478547033637667,0.006775656241078667,264,0.746597319587466,0.7440235549765517,0.7500426464072278,0.7502927363642556,0.747438744488049,0.74767900036471,0.0023241547136784234
2,2.8035964965820312,0.897682057651301,0.01459951400756836,0.0004893574737778667,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.7592608796468463,0.7609080846483993,0.7450378465826756,0.7455860642130434,0.7570179408236599,0.7535619932322197,0.006850854874956294,213,0.7523536653941315,0.7521244732401466,0.755043769464735,0.7543890096182462,0.7562272406435986,0.7540276316721716,0.0015764253726687967
3,1.8611975193023682,0.1356321712642322,0.015199518203735352,0.0007484946849580868,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.7555842607216591,0.7574584820241492,0.7396840049758863,0.7416045288536747,0.7480236983546888,0.7484710169834854,0.007154657711018374,258,0.7476288248145148,0.7472738508274558,0.7479743564281885,0.7523472388069362,0.7508204731272492,0.749208948800869,0.002010546648169955
4,3.678397798538208,1.413260151342171,0.015200042724609375,0.0011666874308844802,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.7594665068316352,0.7618675566483448,0.7444417464991122,0.7460263640301179,0.7501401265893273,0.7523885706898623,0.007051872494089197,231,0.7548407622351737,0.7527575984290323,0.7562259652475689,0.7532410357920494,0.7559528887702766,0.7546036500948202,0.0013980842690025574
5,2.509199857711792,0.8750753414978119,0.017798805236816408,0.0003999020519764241,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.7610709336008917,0.7617698472768496,0.7466773952528801,0.7551586659219366,0.7523905413761902,0.755413625349825,0.005620284171571837,193,0.7564672813178229,0.7548543598605635,0.7562549684507744,0.7576277133035947,0.75502000125418,0.7560448648373871,0.0010193758818319958
6,2.773398447036743,0.9127302648338322,0.018999481201171876,0.0018971042931337245,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.7557410332207002,0.7635524356612955,0.7516851220710887,0.7493456874923742,0.7544802209343411,0.7549609235151329,0.004835724779323378,199,0.7526915625868463,0.7546551052717523,0.7594834929081775,0.7554214492072631,0.7550145020638066,0.7554532224075692,0.002222625533563499
7,2.9748013496398924,0.6572082009884276,0.018999433517456053,0.0008950560863036579,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.7611600144084865,0.7660511948495009,0.7545086069317264,0.7539843305279564,0.7587028642725953,0.758881410978319,0.004466260680332996,140,0.7566826099710612,0.7574931575837468,0.7633019416072083,0.7610733743666621,0.7597314402021077,0.7596565047461572,0.002401102489708885
8,3.780399465560913,0.6097461948061657,0.021000766754150392,0.0014139088432032106,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.7679365968263413,0.7686064650548025,0.7538438429241644,0.7580977249272163,0.7599717242172548,0.7616913553550474,0.005732083342364818,43,0.7620784211974917,0.7597744365128846,0.765071121809868,0.7619749425086323,0.7607253049285871,0.7619248453914927,0.0017882005602002807
9,5.952998924255371,1.03573293681935,0.023600959777832033,0.001854779983868975,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.7664186987542297,0.7697782483383331,0.7553556645428248,0.7608337088581567,0.7573918143700213,0.7619558514151544,0.005417768916486944,34,0.7633276631488672,0.7596063273230107,0.7641554242917947,0.764273434968012,0.7618848745406809,0.7626495448544731,0.001744157678329847
10,6.150005054473877,1.3362634704115284,0.0298001766204834,0.00271339978947265,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.7615667722025102,0.7673034303767255,0.7552014441542331,0.7594939724012346,0.7633035150435773,0.7613737319360689,0.004013884132310879,57,0.7571869451371215,0.7526667146356454,0.7624353398728745,0.7650967749835781,0.7625282494320946,0.7599828048122628,0.00447188806310583
