k,Twitter Spam Users log-likelihood
2,-3.046868824312716
3,-3.032148841373819
4,-3.028590400026941
5,-3.0183214512211762
6,-3.017800015682389
7,-3.0132579221374725
8,-2.998593112421516
9,-2.9997591129739534
10,-2.9987200675144625
15,-2.9871209493664033
20,-2.986444948178544
25,-2.9852375977913774
30,-2.9841961381799997
35,-2.983735607225009
40,-2.9826457745924486
