k,Twitter Spam Users sse (left)
2,44852.33780154301
3,32602.573457677216
4,25240.031998772312
5,21090.414359740964
6,18656.16707160377
7,16569.22338665922
8,14627.586895499726
9,13195.626878148714
10,11984.181994281176
15,7900.955452950751
20,5851.327856897881
25,4640.776170168624
30,3805.6461881141227
35,3235.3130404242543
40,2827.250799758313
