k,Speed Dating sse (left)
2,153278.25004167453
3,148672.61038998025
4,145296.43163479553
5,142106.42569867647
6,139240.43494654013
7,136727.18584330863
8,134567.8003511987
9,132069.33662766914
10,129997.93093888639
15,122825.35956822932
20,118049.98559521948
25,112433.35999372444
30,108517.16078108696
35,105504.91375934647
40,101867.2370942932
