,gamma,values,policy,time,steps
0,0.1,"[3.52065724 5.20918385 1.5976608  3.33488    3.5        5.
 0.        ]",[3 1 0 2 3 1 0],0.0004999637603759766,3
1,0.2,"[4.09515015 5.47923965 1.85667942 3.7551872  4.         5.
 0.        ]",[3 1 0 2 3 1 0],0.0005011558532714844,4
2,0.30000000000000004,"[4.74990957 5.83747092 2.19643491 4.2924239  4.5        5.
 0.        ]",[3 1 0 2 3 1 0],0.0,5
3,0.4,"[5.52729467 6.3245259  2.64518293 4.99516271 5.         5.
 0.        ]",[3 1 0 2 3 1 0],0.0004994869232177734,6
4,0.5,"[6.5019582  7.00819765 3.24837798 5.94911026 5.5        5.
 0.        ]",[3 1 0 2 3 1 0],0.0009999275207519531,8
5,0.6,"[7.79373047 7.99434709 4.07469814 7.29457009 6.         5.
 0.        ]",[3 1 0 2 3 1 0],0.0015017986297607422,10
6,0.7000000000000001,"[9.63615617 9.48507749 5.24748321 9.32127133 6.5        5.
 0.        ]",[3 1 0 2 3 1 0],0.002499818801879883,13
7,0.8,"[12.5164129  11.8986462   6.99862923 12.69450888  7.          5.
  0.        ]",[3 1 0 2 3 1 0],0.0014984607696533203,19
8,0.9,"[19.750794   18.62043636 12.64036693 21.39673904 11.92609559  9.92609559
  0.        ]",[3 1 0 2 3 2 0],0.002500295639038086,40
