,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,5.258818864822388,1.0586787332670176,0.007991266250610352,0.000617536584449953,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.7652531976519915,0.7790008537990842,0.7679947774030622,0.7598678998145941,0.7806796538931775,0.7705591135091961,0.008033648999541643,111,0.7699114824854482,0.7789882449611718,0.7754785685513572,0.762091879582809,0.7740145942750231,0.7720969539711618,0.005787578978196617
1,7.7832887172698975,2.0004300707070706,0.009811973571777344,0.0004012270210758415,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.8544799868750781,0.8573250995136239,0.8423866524847173,0.8814847075312521,0.8686728552812076,0.8608686620957355,0.013272807969026586,92,0.8633183387535024,0.8591284028826336,0.8400368439737773,0.8806248558967468,0.8614361923356701,0.8609089267684661,0.012912127957697334
2,12.819395637512207,3.0053515501180854,0.009598731994628906,0.0007947098316520295,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.8895815931064632,0.8980098347078795,0.8781100873223637,0.9057141151737099,0.8998479533752278,0.8942519687678802,0.009583127923142212,71,0.8957821535196971,0.8977198208340528,0.880802974257755,0.9112890976898632,0.8945189310036882,0.8960225954610113,0.009694352510285612
3,13.8034818649292,2.770260837595299,0.01002044677734375,0.0006264124538907508,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.9166098959816594,0.9229189376781453,0.9102195546310531,0.9219289071824577,0.9234754055470211,0.9190302040865918,0.005035285586017878,39,0.921454877160407,0.9218859442544044,0.9115023650848985,0.924588225245271,0.9220863415517391,0.9203035506593439,0.004534912775144888
4,12.321249103546142,3.81729637503495,0.009007883071899415,0.0006244860008259709,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.9203772986472187,0.9201731798471974,0.9226956327146654,0.9320379466056857,0.9278707229589448,0.9246304432140295,0.004627439769051411,29,0.9255790789875944,0.9236362656425721,0.9224067981758239,0.9347851063437811,0.9272825629620725,0.9267379624223688,0.004353748557266779
5,9.062405681610107,2.6421392298551813,0.0097930908203125,0.00041564222533882684,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.9334239997485503,0.9365921685579703,0.9365431010139951,0.9319756363214391,0.9390588144747624,0.9355186720171805,0.0025168527911622737,8,0.9391504289411116,0.9372014964788928,0.9391814701752746,0.9334876885810303,0.9381727586559183,0.9374387685664456,0.0021058424766227145
6,2.511373996734619,0.5603562833477604,0.005217790603637695,0.0007231165621149733,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.7687809966749563,0.7782503109298312,0.7686316431589065,0.7585329347381384,0.7800760900308549,0.7708544304388042,0.007755869352815396,107,0.7724484288835775,0.7782975051315282,0.7749481673411556,0.7635433424436673,0.7689541997759107,0.771638328715168,0.005073248967978752
7,3.5398088932037353,0.4654539421894538,0.0052258014678955075,0.00038684631072840046,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.8410181315368636,0.8547130269208127,0.8326037513566522,0.8745360385766187,0.8639643780563909,0.8533655466409837,0.015138168121307945,99,0.8496479123638996,0.8544877766043113,0.8311851003038531,0.8766089459671652,0.8532599110007144,0.8530379292479887,0.014469156919232985
8,4.996777153015136,1.633913155884963,0.005218887329101562,0.00039050423536055544,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.8814138174569083,0.8910683254831218,0.8596042392928844,0.8917790694155627,0.8908540655018098,0.8829432743063689,0.012277787116948487,78,0.8888212968417578,0.8874368436611176,0.8580263182088645,0.8977860529823581,0.8839407892178106,0.8832022601823816,0.013390786101200446
9,5.092931318283081,0.904649155133615,0.0056171417236328125,0.0004878013131573621,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.8992068137204011,0.9045833373528226,0.9024068583087728,0.9040135686303105,0.904026674043823,0.9028472443463513,0.0019603331131330167,61,0.9064060465035668,0.9022385693642727,0.9056729617729534,0.9037331465488446,0.898008690763677,0.9032118829906629,0.002985024414747034
10,4.401125860214234,2.1202463452917826,0.005022525787353516,1.5471877892054175e-05,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.9077662297089943,0.8976933966876312,0.8994267791361467,0.9302930203665273,0.9159528386206527,0.9102254802998948,0.01195970299594236,54,0.914764492899284,0.8946681984016686,0.9045220351797305,0.9318444974469416,0.9104388163872871,0.9112476080629823,0.012307433774326271
