iterations,fitness,time,fevals
0,536.0,0.00287929999996,593
10,551.0,0.00558699999999,1085
20,559.0,0.00803329999997,1577
30,558.0,0.0101794,2061
40,560.0,0.0124465,2543
50,558.0,0.0143179,3021
60,574.0,0.0162248,3494
70,554.0,0.017963,3979
80,552.0,0.0196323,4467
90,558.0,0.0218088999999,4956
100,558.0,0.0235901999999,5441
110,556.0,0.0266660999999,5931
120,554.0,0.0283079,6422
130,554.0,0.030114,6898
140,550.0,0.0318525,7378
150,550.0,0.0334391,7854
160,550.0,0.0354849,8329
170,550.0,0.0370415,8817
180,552.0,0.0386373000001,9301
190,548.0,0.0402512000001,9801
200,548.0,0.0418763000001,10282
210,544.0,0.0435006000001,10768
220,544.0,0.0450765000001,11245
230,544.0,0.0469056000001,11723
240,544.0,0.048469,12201
250,546.0,0.0500737,12685
260,542.0,0.0517026000001,13182
270,546.0,0.0533283000001,13666
280,544.0,0.0554191000001,14152
290,544.0,0.0570155,14627
300,542.0,0.0602319000001,15117
310,544.0,0.0618556000001,15594
320,546.0,0.0646278,16075
330,544.0,0.0673233000001,16555
340,546.0,0.0694146000001,17043
350,544.0,0.0718686000001,17521
360,546.0,0.0738147000001,17999
370,544.0,0.0755656000001,18464
380,548.0,0.0773798000001,18955
390,548.0,0.0800372,19428
400,546.0,0.0817511000001,19924
410,544.0,0.0841057000001,20407
420,546.0,0.0858526000001,20892
430,546.0,0.0878062,21376
440,546.0,0.0895276000001,21865
450,542.0,0.0918656000001,22355
460,546.0,0.0941752000001,22851
470,546.0,0.0963392,23331
480,548.0,0.0982042000001,23822
490,546.0,0.101424,24296
500,544.0,0.1031017,24785
510,540.0,0.1048626,25272
520,540.0,0.106575,25754
530,546.0,0.1084213,26218
540,542.0,0.1101022,26692
550,540.0,0.1125257,27183
560,540.0,0.1144327,27655
570,544.0,0.1162011,28145
580,542.0,0.1189084,28613
590,542.0,0.1205581,29103
600,544.0,0.122766,29583
610,544.0,0.1244718,30069
620,548.0,0.1267887,30550
630,552.0,0.1284974,31034
640,556.0,0.1302249,31508
650,558.0,0.1319352,31994
660,550.0,0.1335141,32476
670,550.0,0.1359584,32955
680,550.0,0.1377007,33443
690,552.0,0.1407143,33922
700,554.0,0.1424071,34404
710,548.0,0.1441871,34888
720,554.0,0.1460828,35365
730,554.0,0.1477611,35848
740,554.0,0.1494821,36340
750,552.0,0.1511516,36822
760,554.0,0.1536557,37302
770,558.0,0.1554819,37785
780,560.0,0.1574188,38258
790,560.0,0.1591454,38738
800,556.0,0.1608397,39221
810,556.0,0.162469,39713
820,562.0,0.1640444,40198
830,562.0,0.1657558,40679
840,558.0,0.1673619,41163
850,560.0,0.1690251,41649
860,558.0,0.1706495,42146
870,562.0,0.1725798,42625
880,560.0,0.1758896,43105
890,564.0,0.1778642,43589
900,568.0,0.1796705,44081
910,566.0,0.1814052,44560
920,562.0,0.1831957,45053
930,564.0,0.1847647,45526
940,564.0,0.186341,45999
950,566.0,0.1880323,46494
960,566.0,0.1895922,46985
970,568.0,0.1911245,47458
980,568.0,0.1931118,47942
990,568.0,0.1947242,48418
1000,574.0,0.1964278,48905
1010,572.0,0.1980803,49387
1020,564.0,0.199665,49860
1030,566.0,0.2016683,50354
1040,566.0,0.2034161,50844
1050,568.0,0.2050467,51329
1060,566.0,0.2066221,51817
1070,568.0,0.2098228,52305
1080,566.0,0.2113423,52788
1090,568.0,0.212936,53269
1100,570.0,0.2145298,53750
